|Тип|Назначение|Объем|Форм-фактор|Разъем|Тип памяти|Внешняя скорость записи|Внешняя скорость считывания|Буферная память|Ударостойкость при работе|Наработка на отказ|Материал корпуса|Размеры|Вес|Контроллер|Гарантия производителя|Интерфейс M.2|NVMe|TBW|DWPD|Шифрование данных|IOPS записи|IOPS считывания|Кабель в комплекте|Ударостойкий корпус|Стандарт защиты MIL-STD-810|Уровень защиты (IP)|Радиатор охлаждения M.2|TRIM|Код EAN / UPS / GTIN|Маркировка производителя|Подсветка|Thunderbolt|Внешний карман
Team Group DELTA MAX WHITE RGB LITE T253TM001T0C425 T253TM001T0C425|внутренний||1000 ГБ|"2.5"""|SATA 3|3D TLC NAND|500 МБ/с|550 МБ/с|||1 млн. ч||100x70x7 мм|||3 года|||800 ТБ|0.7 раз/день||60 тыс|70 тыс|||||||0765441060005||multi compatibility||
GOODRAM CL100 GEN 2 SSDPR-CL100-240-G2 SSDPR-CL100-240-G2|внутренний||240 ГБ|"2.5"""|SATA 3|3D TLC NAND|400 МБ/с|520 МБ/с||1500 G|1 млн. ч||100x70x7 мм|75 г|Marvell 88NV1120|3 года||||||||||||||||||
A-Data XPG GAMMIX S50 LITE AGAMMIXS50L-512G-C AGAMMIXS50L-512G-C|внутренний||512 ГБ|M.2||3D TLC NAND|2800 МБ/с|3800 МБ/с||1500 G|2 млн. ч||22x80 мм||Silicon Motion SM2267|5 лет|PCI-E 4.0 4x||370 ТБ|0.4 раз/день||510 тыс|191 тыс|||||Есть||||||
Corsair MP600 PRO LPX CSSD-F2000GBMP600PLP CSSD-F2000 ГБMP600PLP|внутренний||2000 ГБ|M.2||3D TLC NAND|6800 МБ/с|7100 МБ/с||1500 G|1.6 млн. ч||23x80x11 мм|||5 лет|PCI-E 4.0 4x|Есть|1400 ТБ|0.4 раз/день||||||||Есть||0840006657798||||
Plextor PX-S2G M.2 PX- 128S2G PX- 128S2G|внутренний||128 ГБ|M.2||TLC|460 МБ/с|520 МБ/с|256 МБ|1500 G|1.5 млн. ч||22x80 мм|10 г||3 года|SATA 3|||||||||||||||||
Kingston UV500 M.2 SUV500M8/120G SUV500M8\/120G|внутренний||120 ГБ|M.2 / 2280 /||3D TLC NAND|320 МБ/с|520 МБ/с|||1 млн. ч||22x80x3.5 мм|6 г|Marvell 88SS1074|3 года|SATA 3||60 ТБ|0.3 раз/день||18 тыс|79 тыс||||||Есть|||||
Seagate BarraCuda 120 ZA250CM1A003 ZA250CM1A003|внутренний||250 ГБ|"2.5"""|SATA 3|3D TLC NAND|540 МБ/с|560 МБ/с||1500 G|1.8 млн. ч||100x70x7 мм|50 г||5 лет|||150 ТБ|0.3 раз/день||90 тыс|90 тыс||||||Есть|||||
LaCie Rugged SSD Pro STHZ2000800 STHZ2000800|внешний||2000 ГБ||USB C 3.2 gen2, Thunderbolt v3|3D TLC NAND||2800 МБ/с||||пластик / прорезиненный /|98x65x17 мм|100 г||5 лет||Есть|||||||Есть||IP67|||||||
WD Green SSD WDS200T2G0A S200T2G0A|внутренний||2000 ГБ|"2.5"""|SATA 3|TLC|430 МБ/с|545 МБ/с||1500 G|1 млн. ч||100х70х7 мм|33 г|Silicon Motion SM2258XT|3 года|||||||||||||Есть|||||
Kingston DC450R SEDC450R/7680G SEDC450R\/7680G|внутренний||7680 ГБ|"2.5"""|SATA 3|3D TLC NAND|504 МБ/с|560 МБ/с||1500 G|2 млн. ч|||||5 лет|||5063 ТБ|0.3 раз/день||19 тыс|99 тыс|||||||||||
GOODRAM PX600 SSDPR-PX600-2K0-80 SSDPR-PX600-2K0-80|внутренний||2000 ГБ|M.2||3D NAND|4200 МБ/с|5000 МБ/с|||2 млн. ч||22x80 мм|||3 года|PCI-E 4.0 4x|Есть|600 ТБ|0.3 раз/день||||||||||5908267964101||||
Colorful SL500 SL500 640GB SL500 640 ГБ|внутренний||640 ГБ|"2.5"""|SATA 3|3D TLC NAND|400 МБ/с|400 МБ/с|||||100x70x7 мм||Silicon Motion SM2258|3 года|||||||||||||Есть|||||
Corsair MP600 PRO LPX CSSD-F4000GBMP600PLP CSSD-F4000 ГБMP600PLP|внутренний||4000 ГБ|M.2||3D TLC NAND|6800 МБ/с|7100 МБ/с||1500 G|1.6 млн. ч||23x80x11 мм|||5 лет|PCI-E 4.0 4x|Есть||||||||||Есть||0840006657804||||
Geil Zenith R3 GZ25R3-480G GZ25R3-480G|внутренний||480 ГБ|"2.5"""|SATA 3|TLC|510 МБ/с|550 МБ/с||1500 G|2.5 млн. ч||70x100x7 мм|||3 года||||||||||||||||||
LaCie Rugged USB 3.2 Gen 2 Type-C STHR500800 STHR500800|внешний||500 ГБ||USB C 3.2 gen2|3D TLC NAND||950 МБ/с||||пластик / прорезиненный /|98x65x17 мм|100 г||||Есть||||||USB C – USB C и USB C – USB A|Есть||IP67|||||||
Toshiba XG5 KXG50ZNV256G KXG50ZNV256G|внутренний||256 ГБ|M.2||3D TLC NAND / 64-Layer /|1050 МБ/с|2700 МБ/с||1500 G|1.5 млн. ч||22x80 мм|7 г||5 лет|PCI-E 3.0 4x|Есть|||||||||||Есть|||||
Synology SNV3000 SNV3400-800G SNV3400-800G|внутренний||800 ГБ|M.2||3D TLC NAND|550 МБ/с|3100 МБ/с||1500 G|1.8 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|500 ТБ|0.68 раз/день||40 тыс|205 тыс|||||||4711174724222||||
Geil Zenith R3 GZ25R3-240G GZ25R3-240G|внутренний||240 ГБ|"2.5"""|SATA 3|TLC|510 МБ/с|550 МБ/с||1500 G|2.5 млн. ч||70x100x7 мм|||3 года||||||||||||||||||
PNY Pro Elite PSD0CS2060-500-RB PSD0CS2060-500-RB|внешний||500 ГБ|"2.5"""|USB C 3.2 gen2|3D TLC NAND|875 МБ/с|865 МБ/с||||пластик|100x88x17 мм|45 г||3 года||||||||USB C – USB C|||||||PSD0CS2060-500-RB, PSD0CS2060S-500-RB|||
Crucial P5 CT250P5SSD8 CT250P5SSD8|внутренний||250 ГБ|M.2||3D TLC NAND|1400 МБ/с|3400 МБ/с||1500 G|1.8 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|150 ТБ|0.3 раз/день|||||||||Есть|||||
LiteOn MU3 PH6 PH6-CE960-L PH6-CE960-L|внутренний||960 ГБ|"2.5"""|SATA 3|3D TLC NAND||560 МБ/с||1500 G|1.5 млн. ч||100x70x7 мм|||||||||||||||||||||
Samsung 870 EVO MZ-77E4T0 MZ-77E4T0|внутренний||4000 ГБ|"2.5"""|SATA 3|3D TLC NAND / Samsung 128-слойная 512-Гбит 3D TLC V-NAND /|530 МБ/с|560 МБ/с|4000 МБ|1500 G|1.5 млн. ч||100x70x7 мм|48 г|Samsung MKX|5 лет|||2400 ТБ|0.3 раз/день||88 тыс|98 тыс||||||Есть|||||
Micron 5300 MAX MTFDDAK240TDT-1AW1ZAB MTFDDAK240TDT-1AW1ZAB|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|3D TLC NAND / 96-layer /|380 МБ/с|540 МБ/с||1500 G|3 млн. ч||100x70x7 мм|||5 лет|||2190 ТБ|5 раз/день||60 тыс|82 тыс|||||||0649528822116||||
AMD R5 Series R5M128G8 R5M128G8|внутренний||128 ГБ|M.2||TLC|453 МБ/с|542 МБ/с|||||22x80 мм||Silicon Motion SM2258XT|1 год|SATA 3||40 ТБ|||||||||||||||
Kingston UV500 M.2 SUV500M8/480G SUV500M8\/480G|внутренний||480 ГБ|M.2 / 2280 /||3D TLC NAND|500 МБ/с|520 МБ/с|||1 млн. ч||22x80x3.5 мм|8 г|Marvell 88SS1074|3 года|SATA 3||100 ТБ|0.2 раз/день||35 тыс|79 тыс||||||Есть|||||
HP S700 M.2 2LU80AA#ABB 2LU80AA#ABB|внутренний||500 ГБ|M.2||3D TLC NAND|500 МБ/с|550 МБ/с||1500 G|2 млн. ч||22x80 мм||Silicon Motion SM2258XT|3 года|SATA 3||295 ТБ|||85 тыс|70 тыс||||||Есть|||||
Geil Zenith R3 GZ25R3-120G GZ25R3-120G|внутренний||120 ГБ|"2.5"""|SATA 3|TLC|360 МБ/с|550 МБ/с||1500 G|2.5 млн. ч||70x100x7 мм|||3 года||||||||||||||||||
Lexar NQ100 LNQ100X240G-RNNNG LNQ100X240G-RNNNG|внутренний||240 ГБ|"2.5"""|SATA 3|3D TLC NAND||550 МБ/с||1500 G|||100x70x7 мм|34 г||3 года|||168 ТБ|0.7 раз/день||||||||||0843367122790||||
PNY CS900 SSD7CS900-240-PB SSD7CS900-240-PB|внутренний||240 ГБ|"2.5"""|SATA 3|3D TLC NAND|460 МБ/с|560 МБ/с|||2 млн. ч||100x70x7 мм|45 г|Phison PS3111-S11-13|3 года|||||||||||||Есть|3536403351724||||
WD Blue SSD 3D NAND WDS200T2B0A S200T2B0A|внутренний||2000 ГБ|"2.5"""|SATA 3|3D TLC NAND / 64-слойная /|530 МБ/с|560 МБ/с||1500 G|1.75 млн. ч||100х70х7 мм|58 г|Marvell 88SS1074|5 лет|||500 ТБ|0.2 раз/день||84 тыс|95 тыс|||||||0718037856315||||
Samsung 970 PRO M.2 MZ-V7P1T0BW MZ-V7P1T0BW|внутренний||1024 ГБ|M.2||3D MLC NAND|2700 МБ/с|3500 МБ/с|1024 МБ|1500 G|1.5 млн. ч||22x80 мм|8 г|Samsung Phoenix|5 лет|PCI-E 3.0 4x|Есть|1200 ТБ|0.7 раз/день||500 тыс|500 тыс||||||Есть|||||
A-Data XPG SPECTRIX S40G RGB AS40G-4TT-C AS40G-4TT-C|внутренний||4000 ГБ|M.2||3D TLC NAND|1900 МБ/с|3000 МБ/с||1500 G|2 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|2560 ТБ|0.4 раз/день||240 тыс|290 тыс|||||Есть||||multi compatibility||
Crucial T700 CT2000T700SSD3 CT2000T700SSD3|внутренний||2000 ГБ|M.2||3D TLC NAND / Micron 232-layer /|11800 МБ/с|12400 МБ/с|||||||Phison|5 лет|PCI-E 5.0 4x|Есть|1200 ТБ|0.3 раз/день||||||||||0649528935663||||
Team Group DELTA MAX RGB LITE T253TM001T0C325 T253TM001T0C325|внутренний||1000 ГБ|"2.5"""|SATA 3|3D TLC NAND|500 МБ/с|550 МБ/с|||1 млн. ч||100x70x7 мм|||3 года|||800 ТБ|0.7 раз/день||60 тыс|70 тыс|||||||765441059993||multi compatibility||
GOODRAM PX500 SSDPR-PX500-512-80 SSDPR-PX500-512-80|внутренний||512 ГБ|M.2||3D TLC NAND|1600 МБ/с|2000 МБ/с||1500 G|1.5 млн. ч||22x80 мм||Silicon Motion 2263XT|3 года|PCI-E 3.0 4x|Есть||||140 тыс|173 тыс|||||||5908267923269||||
WD Blue SSD 3D NAND M.2 WDS500G2B0B S500G2B0B|внутренний||500 ГБ|M.2||3D TLC NAND / 64-слойная /|530 МБ/с|560 МБ/с||1500 G|1.75 млн. ч||22x80 мм|7 г||5 лет|SATA 3||200 ТБ|0.4 раз/день||84 тыс|95 тыс||||||Есть|||||
A-Data LEGEND 750 ALEG-750-1TCS ALEG-750-1TCS|внутренний||1000 ГБ|M.2||3D TLC NAND|3000 МБ/с|3500 МБ/с||1500 G|2 млн. ч||22x80 мм|9 г||5 лет|PCI-E 3.0 4x|Есть|600 ТБ|0.3 раз/день||260 тыс|480 тыс|||||Есть||||||
Dell Value SATA 400-AKRD 400-AKRD|внутренний|для сервера|800 ГБ|"2.5"""|SATA 3|MLC||||||||||||||||||||||||||||
Patriot Memory P400 M.2 P400P512GM28H P400P512GM28H|внутренний||512 ГБ|M.2|||3300 МБ/с|5000 МБ/с|||2 млн. ч||22x80 мм|9 г||3 года|PCI-E 4.0 4x|Есть|400 ТБ|0.7 раз/день||450 тыс|550 тыс|||||Есть||||||
Philips Portable SSD 256GB 256 ГБ|внешний||256 ГБ|"2.5"""|USB 3.2 gen1|MLC|150 МБ/с|240 МБ/с|4 МБ||||54x93x8.6 мм|100 г||||||||||||||||||||
Micron 5300 PRO MTFDDAK480TDS-1AW1ZAB MTFDDAK480TDS-1AW1ZAB|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|3D TLC NAND / 96-layer /|410 МБ/с|540 МБ/с||1500 G|3 млн. ч||100x70x7 мм|||5 лет|||1324 ТБ|1.5 раз/день||36 тыс|85 тыс|||||||||||
HP MU SFF SC DS P09716-B21 P09716-B21|внутренний|для сервера|960 ГБ|"2.5"""|SATA 3|3D TLC NAND||||||||||||||||||||||||||||
Team Group DELTA MAX WHITE RGB LITE T253TM512G0C425 T253TM512G0C425|внутренний||512 ГБ|"2.5"""|SATA 3|3D TLC NAND|500 МБ/с|550 МБ/с|||1 млн. ч||100x70x7 мм|||3 года|||400 ТБ|0.7 раз/день||60 тыс|70 тыс|||||||0765441059641||multi compatibility||
Colorful CN600S CN600S 240GB CN600S 240 ГБ|внутренний||240 ГБ|M.2||3D NAND|1500 МБ/с|2000 МБ/с|||||22x80 мм||Silicon Motion SM2263XT|1 год|PCI-E 3.0 4x|Есть||||||||||Есть||||||
Dahua C800A DHI-SSD-C800AS240G DHI-SSD-C800AS240G|внутренний||240 ГБ|"2.5"""|SATA 3|3D TLC NAND|450 МБ/с|500 МБ/с|||1.5 млн. ч||100x70x7 мм|40 г||3 года|||100 ТБ|0.4 раз/день|||||||||Есть|||||
Kingston KC600 SKC600B/256G SKC600B\/256G|внутренний||256 ГБ|"2.5"""|SATA 3|3D TLC NAND|500 МБ/с|550 МБ/с||1500 G|1 млн. ч||100x70x7 мм||Silicon Motion SM2259|5 лет|||150 ТБ|0.3 раз/день||80 тыс|90 тыс||||||Есть|||||
Samsung 860 EVO M.2 MZ-N6E500BW MZ-N6E500BW|внутренний||500 ГБ|M.2||3D TLC NAND|520 МБ/с|550 МБ/с|512 МБ|1500 G|1.5 млн. ч||22x80 мм|8 г|Samsung MJX|5 лет|SATA 3||300 ТБ|0.3 раз/день||88 тыс|97 тыс||||||Есть|||||
Toshiba Exceria LTC10Z240GG8 LTC10Z240GG8|внутренний||240 ГБ|"2.5"""|SATA 3|3D TLC NAND|540 МБ/с|555 МБ/с||1500 G|1.5 млн. ч|||||3 года|||60 ТБ|0.2 раз/день||87 тыс|79 тыс|||||||||||
HP For Server P04560-B21 P04560-B21|внутренний|для сервера|480 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
A-Data Ultimate SU650 M.2 ASU650NS38-256GT-C ASU650NS38-256GT-C|внутренний||256 ГБ|M.2||3D TLC NAND|500 МБ/с|550 МБ/с||1500 G|2 млн. ч||22x80 мм|||3 года|SATA 3||140 ТБ|0.5 раз/день||60 тыс|80 тыс||||||Есть|||||
Micron 5300 MAX MTFDDAK1T9TDT-1AW1ZAB MTFDDAK1T9TDT-1AW1ZAB|внутренний|для сервера|1920 ГБ|"2.5"""|SATA 3|3D TLC NAND / 96-layer /|520 МБ/с|540 МБ/с||1500 G|3 млн. ч||100x70x7 мм|||5 лет|||17520 ТБ|5 раз/день||70 тыс|95 тыс|||||||0649528822208, 0649528822215||||
Plextor PX-S3C PX-128S3C PX-128S3C|внутренний||128 ГБ|"2.5"""|SATA 3|TLC|500 МБ/с|550 МБ/с|256 МБ|1500 G|1.5 млн. ч||70x100x7 мм|60 г|Silicon Motion SM2254|3 года|||50 ТБ|0.3 раз/день||57 тыс|72 тыс||||||Есть|||||
Dell Value SATA 400-AZUN 400-AZUN|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|MLC||||||||||||||||||||||||||||
A-Data Ultimate SU750 ASU750SS-1TT-C ASU750SS-1TT-C|внутренний||1024 ГБ|"2.5"""|SATA 3|3D TLC NAND|520 МБ/с|550 МБ/с||1500 G|2 млн. ч||100x70x7 мм|47 г||3 года||||||||||||||4710273770680||||
Team Group GX1 T253X1480G0C101 T253X1480G0C101|внутренний||480 ГБ|"2.5"""|SATA 3|TLC|430 МБ/с|530 МБ/с||1500 G|1 млн. ч||100x70x7 мм|||3 года|||400 ТБ|0.8 раз/день|||||||||Есть|0765441645158||||
A-Data XPG GAMMIX S50 LITE AGAMMIXS50L-1T-C AGAMMIXS50L-1T-C|внутренний||1000 ГБ|M.2||3D TLC NAND|3200 МБ/с|3900 МБ/с||1500 G|2 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x||740 ТБ|0.4 раз/день||540 тыс|380 тыс|||||Есть||||||
Corsair MP600 PRO CSSD-F4000GBMP600PRO CSSD-F4000 ГБMP600PRO|внутренний||4000 ГБ|M.2||3D TLC NAND|6850 МБ/с|7000 МБ/с||1500 G|1.7 млн. ч||80x23x15 мм|34 г|Phison PS5018-E18|5 лет|PCI-E 4.0 4x|Есть|3000 ТБ|0.4 раз/день||700 тыс|650 тыс|||||Есть||0840006637363||||
Dahua E900 SSD-E900N256G SSD-E900N256G|внутренний||256 ГБ|M.2||3D TLC NAND|1050 МБ/с|2000 МБ/с|||||23x80x4.8 мм|8 г||3 года|PCI-E 3.0 4x||128 ТБ|0.5 раз/день||190 тыс|90 тыс|||||Есть|Есть|||||
AFOX SD250 AFSN2L3BN128G AFSN2L3BN128G|внутренний||128 ГБ|"2.5"""|SATA 3|3D QLC NAND|440 МБ/с|480 МБ/с|||||100x70x7 мм||Silicon Motion SM2259XT|3 года||||||||||||||||||
Hikvision T200N HS-ESSD-T200N/128G HS-ESSD-T200N\/128G|внешний||128 ГБ||USB C 3.2 gen1||340 МБ/с|450 МБ/с||||металл|113x41x10 мм|||||||||||USB C – USB A||||||||||
Apacer AS2280Q4U M.2 AP512GAS2280Q4U-1 AP512GAS2280Q4U-1|внутренний||512 ГБ|M.2||3D TLC NAND|3000 МБ/с|7000 МБ/с||1500 G|1.6 млн. ч||23x80x10.8 мм|||5 лет|PCI-E 4.0 4x|Есть|350 ТБ|0.4 раз/день||300 тыс|450 тыс|||||Есть|Есть|||||
MSI SPATIUM M390 NVMe M.2 S78-4409PL0-P83 S78-4409PL0-P83|внутренний||250 ГБ|M.2||3D TLC NAND|1200 МБ/с|3300 МБ/с|||1.5 млн. ч||22x80 мм||PHISON E15T|5 лет|PCI-E 3.0 4x|Есть|150 ТБ|0.2 раз/день||300 тыс|150 тыс|||||||||||
SanDisk My Passport WDBAGF0020BBL-WESN WDBAGF0020BBL-WESN|внешний||2000 ГБ|"2.5"""|USB C 3.2 gen2||1050 МБ/с|1000 МБ/с||||пластик|100x55x9 мм|||5 лет||Есть||||||USB C – USB C и USB C – USB A||||||0619659184049, 0619659184551, 0619659184575|WDBAGF0020BBL-WESN, WDBAGF0020BGD-WESN, WDBAGF0020BGY-WESN, WDBAGF0020BRD-WESN, WDBAGF0020BSL-WESN|||
Corsair MP600 PRO XT CSSD-F8000GBMP600PXT CSSD-F8000 ГБMP600PXT|внутренний||8000 ГБ|M.2||3D TLC NAND|6100 МБ/с|7100 МБ/с||1500 G|1.6 млн. ч||23x80x19 мм|66 г|Phison PS5018-E18|5 лет|PCI-E 4.0 4x|Есть|6000 ТБ|0.5 раз/день||1200 тыс|900 тыс|||||Есть||0840006696551||||
Dell Value SATA 400-BDPQ 400-BDPQ|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|MLC||||||||||||||||||||||||||||
Dell Value SATA 400-BDUC 400-BDUC|внутренний|для сервера|960 ГБ|"2.5"""|SATA 3|MLC||||||||||||||||||||||||||||
Corsair MP600 Force R2 CSSD-F2000GBMP600R2 CSSD-F2000 ГБMP600R2|внутренний||2000 ГБ|M.2||3D TLC NAND|4000 МБ/с|4950 МБ/с|||1.7 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|3600 ТБ|1 раз/день||540 тыс|490 тыс|||||Есть||||||
Team Group DELTA MAX RGB LITE T253TM512G0C325 T253TM512G0C325|внутренний||512 ГБ|"2.5"""|SATA 3|3D TLC NAND|500 МБ/с|550 МБ/с|||1 млн. ч||100x70x7 мм|||3 года|||400 ТБ|0.7 раз/день||60 тыс|70 тыс|||||||765441059658||multi compatibility||
Corsair MP600 PRO NH CSSD-F1000GBMP600PNH CSSD-F1000 ГБMP600PNH|внутренний||1000 ГБ|M.2||3D TLC NAND|5700 МБ/с|7000 МБ/с|||1.6 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|700 ТБ|0.4 раз/день||1100 тыс|870 тыс|||||||0840006697206||||
PNY CS900 SSD7CS900-480-PB SSD7CS900-480-PB|внутренний||480 ГБ|"2.5"""|SATA 3|3D TLC NAND|470 МБ/с|555 МБ/с|||2 млн. ч||100x70x7 мм|45 г|Phison PS3111-S11-13|3 года|||||||||||||Есть|3536403351731||||
Dato DS700 DS700SSD-480GB DS700SSD-480 ГБ|внутренний||480 ГБ|"2.5"""|SATA 3|3D TLC NAND|435 МБ/с|545 МБ/с|||||100x70x7 мм|||||||||||||||||||||
A-Data XPG GAMMIX S5 M.2 AGAMMIXS5-512GT-C AGAMMIXS5-512GT-C|внутренний||512 ГБ|M.2||3D TLC NAND|1500 МБ/с|2100 МБ/с||1500 G|2 млн. ч||22x80 мм|11 г||5 лет|PCI-E 3.0 4x|Есть|300 ТБ|0.3 раз/день||240 тыс|250 тыс|||||Есть||||||
Pioneer SL3N APS-SL3N-240 APS-SL3N-240|внутренний||240 ГБ|"2.5"""|SATA 3|TLC|450 МБ/с|520 МБ/с||1500 G|2 млн. ч||100x70x7 мм|35 г||||||||80 тыс|80 тыс|||||||||||
Dell Value SATA 400-BDUX 400-BDUX|внутренний|для сервера|960 ГБ|"2.5"""|SATA 3|MLC||||||||||||||||||||||||||||
Geil Zenith Z3 GZ25Z3-128GP GZ25Z3-128GP|внутренний||128 ГБ|"2.5"""|SATA 3|3D NAND|470 МБ/с|520 МБ/с||1500 G|||70x100x7 мм|||3 года||||||||||||||||||
"Lenovo ThinkSystem 2.5"" Multi Vendor 4XB7A38274 4XB7A38274"|внутренний|для сервера|1920 ГБ|"2.5"""|SATA 3|TLC|486 МБ/с|459 МБ/с|||||||||||2460 ТБ|||22 тыс|85 тыс|||||||||||
Corsair MP600 PRO NH CSSD-F0500GBMP600PNH CSSD-F0500 ГБMP600PNH|внутренний||500 ГБ|M.2||3D TLC NAND|3600 МБ/с|6600 МБ/с|||1.6 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|350 ТБ|0.4 раз/день||880 тыс|450 тыс|||||||0840006697183||||
WD Green SSD M.2 WDS120G2G0B S120G2G0B|внутренний||120 ГБ|M.2||3D TLC NAND|310 МБ/с|540 МБ/с||1500 G|1 млн. ч||22x80 мм|7 г|Silicon Motion|3 года|SATA 3||||||||||||Есть|||||
HP For Server P18420-B21 P18420-B21|внутренний|для сервера|240 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
Dahua C800A SSD-C800AS120G SSD-C800AS120G|внутренний||120 ГБ|"2.5"""|SATA 3|3D TLC NAND|400 МБ/с|500 МБ/с|||1.5 млн. ч||100x70x7 мм|40 г||3 года|||50 ТБ|0.4 раз/день|||||||||Есть|6923169749013||||
AFOX SD250 AFSN3L3CN240G AFSN3L3CN240G|внутренний||240 ГБ|"2.5"""|SATA 3|3D QLC NAND|440 МБ/с|480 МБ/с|||||100x70x7 мм||Silicon Motion SM2259XT|3 года||||||||||||||||||
Samsung 860 EVO M.2 MZ-N6E250BW MZ-N6E250BW|внутренний||250 ГБ|M.2||3D TLC NAND|520 МБ/с|550 МБ/с|512 МБ|1500 G|1.5 млн. ч||22x80 мм|8 г|Samsung MJX|5 лет|SATA 3||150 ТБ|0.3 раз/день||88 тыс|97 тыс||||||Есть|||||
MSI SPATIUM M470 PCIe 4.0 NVMe M.2 S78-440L420-P83 S78-440L420-P83|внутренний||1000 ГБ|M.2||3D TLC NAND|4400 МБ/с|5000 МБ/с|1000 МБ / DDR4 /||1.7 млн. ч||22x80 мм||PHISON E16|5 лет|PCI-E 4.0 4x|Есть|1600 ТБ|0.9 раз/день||600 тыс|600 тыс||||||Есть|||||
Dahua C800A SSD-C800AS500G SSD-C800AS500G|внутренний||500 ГБ|"2.5"""|SATA 3|3D TLC NAND|500 МБ/с|530 МБ/с|||1.5 млн. ч||100x70x7 мм|40 г||3 года|||200 ТБ|0.3 раз/день|||||||||Есть|||||
Seagate Nytro 3532 XS800LE70084 XS800LE70084|внутренний|для сервера|800 ГБ|"2.5"""|SAS|3D TLC NAND|950 МБ/с|1100 МБ/с|||||100x70x15 мм|165 г||5 лет|||4400 ТБ|3 раз/день||120 тыс|170 тыс||||||||XS800LE70084, XS800LE70094, XS800LE70104, XS800LE70114|||
Pioneer SL3N APS-SL3N-512 APS-SL3N-512|внутренний||512 ГБ|"2.5"""|SATA 3|TLC|450 МБ/с|520 МБ/с||1500 G|2 млн. ч||100x70x7 мм|35 г||||||||80 тыс|80 тыс|||||||||||
Dell Value SATA 400-BDPD 400-BDPD|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|MLC||||||||||||||||||||||||||||
Colorful SL500 SL500 960GB SL500 960 ГБ|внутренний||960 ГБ|"2.5"""|SATA 3|3D TLC NAND|480 МБ/с|520 МБ/с|||||100x70x7 мм|||3 года|||||||||||||Есть|||||
Corsair MP600 PRO NH CSSD-F4000GBMP600PNH CSSD-F4000 ГБMP600PNH|внутренний||4000 ГБ|M.2||3D TLC NAND|6500 МБ/с|7000 МБ/с|||1.6 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|3000 ТБ|0.4 раз/день||1200 тыс|1000 тыс|||||||0840006697237||||
Apacer Panther AS350 AP120GAS350-1 AP120GAS350-1|внутренний||120 ГБ|"2.5"""|SATA 3|TLC|298 МБ/с|310 МБ/с||1500 G|1.5 млн. ч||100x70x7 мм|60 г||3 года||||||27 тыс|||||||Есть|4712389914965||||
Team Group EX2 T253E2001T0C101 T253E2001T0C101|внутренний||1000 ГБ|"2.5"""|SATA 3|3D TLC NAND|520 МБ/с|550 МБ/с||1500 G|1 млн. ч||100x70x7 мм|||3 года|||800 ТБ|0.7 раз/день||||||||||||||
HP For Server P18422-B21 P18422-B21|внутренний|для сервера|480 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
Patriot Memory Viper VPN110 VPN110-2TBM28H VPN110-2TBM28H|внутренний||2000 ГБ|M.2||3D TLC NAND|3000 МБ/с|3300 МБ/с|||||22x80x10 мм|25 г||3 года|PCI-E 3.0 4x|Есть|1600 ТБ|0.7 раз/день||500 тыс|500 тыс|||||Есть||||||
Silicon Power UD80 SP02KGBP34UD8005 SP02KGBP34UD8005|внутренний||2000 ГБ|M.2||3D QLC NAND|3000 МБ/с|3400 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|1200 ТБ|0.3 раз/день||||||||||4713436147275||||
Team Group GX1 T253X1960G0C101 T253X1960G0C101|внутренний||960 ГБ|"2.5"""|SATA 3|TLC|480 МБ/с|530 МБ/с||1500 G|1 млн. ч||100x70x7 мм|||3 года|||800 ТБ|0.8 раз/день|||||||||Есть|0765441645165||||
Corsair MP600 PRO NH CSSD-F2000GBMP600PNH CSSD-F2000 ГБMP600PNH|внутренний||2000 ГБ|M.2||3D TLC NAND|5700 МБ/с|7000 МБ/с|||1.6 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|1400 ТБ|0.4 раз/день||1200 тыс|1000 тыс|||||||0840006697220||||
PNY CS3040 M280CS3040-2TB-RB M280CS3040-2TB-RB|внутренний||2000 ГБ|M.2||3D TLC NAND|4300 МБ/с|5600 МБ/с||1500 G|2 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|||||||||||Есть|||||
