|Тип|Назначение|Объем|Форм-фактор|Разъем|Тип памяти|Внешняя скорость записи|Внешняя скорость считывания|Буферная память|Ударостойкость при работе|Наработка на отказ|Материал корпуса|Размеры|Вес|Контроллер|Гарантия производителя|Интерфейс M.2|NVMe|TBW|DWPD|Шифрование данных|IOPS записи|IOPS считывания|Кабель в комплекте|Ударостойкий корпус|Стандарт защиты MIL-STD-810|Уровень защиты (IP)|Радиатор охлаждения M.2|TRIM|Код EAN / UPS / GTIN|Маркировка производителя|Подсветка|Thunderbolt|Внешний карман
"HP For Server 3.5"" 804596-B21 804596-B21"|внутренний|для сервера|480 ГБ|"3.5"""|SATA 3|MLC|445 МБ/с|480 МБ/с||||||||||||||||||||||||||
HP For Server 804593-B21 804593-B21|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|MLC|445 МБ/с|480 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 804590-B21 804590-B21"|внутренний|для сервера|240 ГБ|"3.5"""|SATA 3|MLC|265 МБ/с|480 МБ/с||||||||||||||||||||||||||
"HP For Server 3.5"" 804584-B21 804584-B21"|внутренний|для сервера|120 ГБ|"3.5"""|SATA 3|MLC|135 МБ/с|480 МБ/с||||||||||||||||||||||||||
HP For Server 873363-B21 873363-B21|внутренний|для сервера|800 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
Transcend ESD320A TS2TESD320A TS2TESD320A|внешний||2000 ГБ||USB 3.2 gen2|3D NAND|950 МБ/с|1050 МБ/с|||||68x20x9.5 мм|26 г|Silicon Motion SM2320|5 лет||||||||||||||||||
Transcend ESD330C TS2TESD330C TS2TESD330C|внешний||2000 ГБ||USB C 3.2 gen2|3D NAND|950 МБ/с|1050 МБ/с|||||64x20x9.5 мм|23 г|Silicon Motion SM2320|5 лет||||||||||||||||||
"HP For Server 3.5"" 717965-B21 717965-B21"|внутренний|для сервера|120 ГБ|"3.5"""|SATA 3|MLC|130 МБ/с|410 МБ/с|||||70x100x15 мм|||||||||||||||||||||
Transcend ESD320A TS512GESD320A TS512GESD320A|внешний||512 ГБ||USB 3.2 gen2|3D NAND|950 МБ/с|1050 МБ/с|||||68x20x9.5 мм|26 г|Silicon Motion SM2320|5 лет||||||||||||||||||
Transcend ESD330C TS512GESD330C TS512GESD330C|внешний||512 ГБ||USB C 3.2 gen2|3D NAND|950 МБ/с|1050 МБ/с|||||64x20x9.5 мм|23 г|Silicon Motion SM2320|5 лет||||||||||||||||||
Transcend ESD320A TS1TESD320A TS1TESD320A|внешний||1000 ГБ||USB 3.2 gen2|3D NAND|950 МБ/с|1050 МБ/с|||||68x20x9.5 мм|26 г|Silicon Motion SM2320|5 лет||||||||||||||||||
Transcend ESD330C TS1TESD330C TS1TESD330C|внешний||1000 ГБ||USB C 3.2 gen2|3D NAND|950 МБ/с|1050 МБ/с|||||64x20x9.5 мм|23 г|Silicon Motion SM2320|5 лет||||||||||||||||||
Corsair MP600 CORE Mini CSSD-F2000GBMP600CMN CSSD-F2000 ГБMP600CMN|внутренний||2000 ГБ|M.2||3D QLC NAND|3800 МБ/с|5000 МБ/с|||||22x30 мм|||5 лет|PCI-E 4.0 4x|Есть||||||||||||||||
GOODRAM PX500 GEN.2 SSDPR-PX500-256-80-G2 SSDPR-PX500-256-80-G2|внутренний||256 ГБ|M.2||3D TLC NAND|950 МБ/с|1850 МБ/с|||2 млн. ч||22x80 мм|||3 года|PCI-E 3.0 4x|Есть|170 ТБ|0.6 раз/день||||||||||||||
Corsair MP600 CORE XT CSSD-F4000GBMP600CXT CSSD-F4000 ГБMP600CXT|внутренний||4000 ГБ|M.2||3D QLC NAND|4400 МБ/с|5000 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|900 ТБ|0.1 раз/день|Есть|||||||||||||
"HP For Server 3.5"" 816893-B21 816893-B21"|внутренний|для сервера|240 ГБ|"3.5"""|SATA 3|MLC||||||||||||||||||||||||||||
Lenovo ThinkSystem S4520 4XB7A17101 4XB7A17101|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|3D TLC NAND|460 МБ/с|550 МБ/с|||||100x70x7 мм||||||2560 ТБ|2.8 раз/день|Есть|30 тыс|79 тыс|||||||||||
HP P40 P40503-B21 P40503-B21|внутренний|для сервера|960 ГБ|"2.5"""|SATA 3|3D NAND||||||||||3 года||||3.4 раз/день||31 тыс|72 тыс|||||||||||
Transcend ESD410C TS2TESD410C TS2TESD410C|внешний||2000 ГБ||USB C 3.2 gen2x2|3D NAND|2000 МБ/с|2000 МБ/с|||||79x42x14.5 мм|65 г||5 лет||||||||USB C – USB C и USB C – USB A|Есть|Есть|IPX5|||||||
HP For Server 728735-B21 728735-B21|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|MLC|240 МБ/с|475 МБ/с||||||||||||||||||||||||||
HP For Server 734364-B21 734364-B21|внутренний|для сервера|80 ГБ|"2.5"""|SATA 3|MLC||335 МБ/с||||||||||||||||||||||||||
HP For Server 717969-B21 717969-B21|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|MLC|||||||70x100x15 мм|||||||||||||||||||||
