|Объем памяти комплекта|Кол-во планок в комплекте|Форм-фактор памяти|Тип памяти|Тактовая частота|Пропускная способность|CAS-латентность|Схема таймингов памяти|Рабочее напряжение|Тип охлаждения|Профиль планки|Дополнительно|Маркировка производителя|Высота планки|Ранг памяти|Синхронизация подсветки|Код EAN / UPS / GTIN
AFOX DDR4 DIMM 1x8Gb AFSD48FH1P|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный||||||4897033781251
G.Skill Ripjaws DDR5 SO-DIMM 1x16Gb F5-5600S4040A16GX1-RS|16 ГБ|1 шт|SO-DIMM|DDR5|5600 МГц|44800 МБ/с|CL40|40-40-40|1.1 В|без охлаждения|стандартный||||||4713294233776
Kingston ValueRAM DDR3 2x4Gb KVR16N11S8K2\/8|8 ГБ|2 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный|||30 мм|||0740617212068, 5054533201804
Micron VLP DDR4 1x32Gb MTA18ADF4G72PZ-2G9|32 ГБ|1 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL21|21-21-21|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|MTA18ADF4G72PZ-2G9B1||одноранговая||
Team Group T-Force Delta RGB 2x32Gb TF3D464G3200HC16FDC01|64 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20-40|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|||||
Crucial DDR4 SO-DIMM 1x4Gb CT4G4SFS8266|4 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||0649528787286
G.Skill Ripjaws S5 DDR5 2x32Gb F5-5600J2834F32GX2-RS5W|64 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL28|28-34-34-89|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|F5-5600J2834F32GA2-RS5K, F5-5600J2834F32GA2-RS5W, F5-5600J2834F32GX2-RS5K, F5-5600J2834F32GX2-RS5W|33 мм|||
Kingston KVR 1.5V DDR3 1x8Gb KVR1333D3D4R9S\/8G|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC||30 мм|||
Kingston ValueRAM DDR3 1x4Gb KVR1333D3E9S\/4G|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка ECC||30 мм|||
Kingston ValueRAM DDR3 1x4Gb KVR1333D3N9\/4G|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|||30 мм|||
Kingston KVR 1.5V DDR3 1x8Gb KVR16R11S4\/8|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC||30 мм|||
Kingston KVR 1.5V DDR3 1x8Gb KVR13R9D8\/8|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9||1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC||30 мм|||
Kingston ValueRAM SO-DIMM DDR4 1x16Gb KCP421SD8\/16|16 ГБ|1 шт|SO-DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный||||||
Kingston ValueRAM SO-DIMM DDR3 1x8Gb KTH-X3B\/8G|8 ГБ|1 шт|SO-DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный||||||
Crucial DDR4 SO-DIMM 1x4Gb CT4G4SFS624A|4 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный||||||
Crucial Value DDR4 1x16Gb CT16G4DFD8266|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||двухранговая||
Crucial Value DDR4 1x16Gb CT16G4RFD8266|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Kingston KCP ValueRAM DDR4 1x16Gb KCP424ND8\/16|16 ГБ|1 шт|DIMM|DDR4 / Dual Rank /|2400 МГц|19200 МБ/с|CL17||1.2 В|без охлаждения|стандартный|||31.2 мм|двухранговая||
Crucial Ballistix DDR4 2x8Gb BL2K8G36C16U4B|16 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL16|16-18-18-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|BL2K8G36C16U4B, BL2K8G36C16U4R, BL2K8G36C16U4W|41 мм|||
Hynix HMA DDR4 1x8Gb HMA81GR7CJR8N-WMT4|8 ГБ|1 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL21|21-21-21-42|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
G.Skill Ripjaws V DDR4 2x16Gb F4-2666C15D-32GVR|32 ГБ|2 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL15|15-15-15-35|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42 мм|||
Kingston ValueRAM SO-DIMM DDR3 1x4Gb KVR16S11\/4|4 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный||||||
Crucial DDR4 SO-DIMM 1x16Gb CT16G4SFD8213|16 ГБ|1 шт|SO-DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный||||||
Kingston Fury Beast DDR5 RGB 2x8Gb KF556C36BBEAK2-16|16 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL36|36-38-38|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка||42.23 мм|одноранговая|multi compatibility|
