|Объем памяти комплекта|Кол-во планок в комплекте|Форм-фактор памяти|Тип памяти|Тактовая частота|Пропускная способность|CAS-латентность|Схема таймингов памяти|Рабочее напряжение|Тип охлаждения|Профиль планки|Дополнительно|Маркировка производителя|Высота планки|Ранг памяти|Синхронизация подсветки|Код EAN / UPS / GTIN
Corsair XMS3 DDR3 TR3X6G1600C9|6 ГБ|3 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL9|9-9-9-24|1.65 В|радиатор|стандартный|серия для разгона (overclocking)|||||
G.Skill Ripjaws DDR3 2x4Gb F3-10666CL9D-8 ГБRL|8 ГБ|2 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9-24|1.5 В|радиатор|стандартный|серия для разгона (overclocking)|||||
G.Skill Sniper DDR3 F3-12800CL9D-8 ГБSR|8 ГБ|2 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL9|9-9-9-24|1.5 В|радиатор|стандартный|серия для разгона (overclocking)|||||
G.Skill Sniper DDR3 F3-14900CL9D-8 ГБSR|8 ГБ|2 шт|DIMM|DDR3|1866 МГц|14900 МБ/с|CL9|9-10-9-28-2N|1.5 В|радиатор|стандартный|серия для разгона (overclocking)|||||
G.Skill N Q DDR3 F3-10666CL9D-4 ГБNQ|4 ГБ|2 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9-24|1.5 В|радиатор|стандартный|серия для разгона (overclocking)|||||
G.Skill Sniper DDR3 F3-17000CL11D-8 ГБSR|8 ГБ|2 шт|DIMM|DDR3|2133 МГц|17000 МБ/с|CL11|11-11-11-30|1.6 В|радиатор|стандартный|серия для разгона (overclocking)|||||
Kingston ValueRAM DDR2 KTH-XW667\/8G|8 ГБ|2 шт|FB-DIMM|DDR2|667 МГц|5300 МБ/с||5-5-5|1.8 В|радиатор|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Crucial Value DDR3 1x16Gb CT16G3ERSDD4186D|16 ГБ|1 шт|DIMM|DDR3|1866 МГц|14900 МБ/с|CL13|13-13-13|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x16Gb 627812-B21|16 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP 1.35V DDR3 DIMM 1x8Gb 647897-B21|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10666 МБ/с|CL9|9-9-9-24|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|647897-B21, 664690-001||||
HP 1.35V DDR3 DIMM 1x8Gb 713983-B21|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP 1.35V DDR3 DIMM 1x8Gb 731765-B21|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|731656-081, 731765-B21, 735302-001||||
HP 1.5V DDR3 DIMM 1x8Gb 731761-B21|8 ГБ|1 шт|DIMM|DDR3|1866 МГц|14900 МБ/с|CL13|13-13-13-32|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x8Gb 726718-B21|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15-40|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x8Gb 759934-B21|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15-42|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
IBM DDR3 49Y3778|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR2 397411-B21|2 ГБ|2 шт|FB-DIMM|DDR2|667 МГц|5300 МБ/с|CL4|4-4-4|1.8 В|без охлаждения|стандартный|поддержка буферизации (Registered)|||||
HP 1.35V DDR3 DIMM 1x8Gb 647877-B21|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x16Gb 647883-B21|16 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9-24|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP 1.5V DDR3 DIMM 1x8Gb 647899-B21|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x32Gb 647903-B21|32 ГБ|1 шт|DIMM|DDR3|1333 МГц|10666 МБ/с|CL9|9-9-9-27|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP 1.35V DDR3 DIMM 1x8Gb 647909-B21|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10666 МБ/с|CL9|9-9-9-30|1.35 В|без охлаждения|стандартный|поддержка ECC|||||
HP DDR3 DIMM 1x2Gb 669320-B21|2 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.5 В|без охлаждения|стандартный|поддержка ECC|||||
HP 1.5V DDR3 DIMM 1x8Gb 690802-B21|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP 1.5V DDR3 DIMM 1x8Gb 695793-B21|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x2Gb 708631-B21|2 ГБ|1 шт|DIMM|DDR3|1866 МГц|14900 МБ/с|CL13|13-13-13-32|1.5 В|без охлаждения|стандартный|поддержка ECC|||||
HP 1.5V DDR3 DIMM 1x8Gb 708635-B21|8 ГБ|1 шт|DIMM|DDR3|1866 МГц|14900 МБ/с|CL13|13-13-13-32|1.5 В|без охлаждения|стандартный|поддержка ECC|||||
HP 1.5V DDR3 DIMM 1x8Gb 708639-B21|8 ГБ|1 шт|DIMM|DDR3|1866 МГц|14900 МБ/с|CL13|13-13-13-32|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x2Gb 713975-B21|2 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.35 В|без охлаждения|стандартный|поддержка ECC|||||
HP 1.35V DDR3 DIMM 1x8Gb 713979-B21|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.35 В|без охлаждения|стандартный|поддержка ECC|||||
HP DDR4 DIMM 1x4Gb 726717-B21|4 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x8Gb 803028-B21|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Kingston ValueRAM DDR2 KTH-XW667\/16G|16 ГБ|2 шт|FB-DIMM|DDR2|667 МГц|5300 МБ/с|CL5|5-5-5-15|1.8 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
IBM DDR3 00D4968|16 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
IBM DDR3 46W0672|16 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
IBM DDR3 49Y1400|16 ГБ|1 шт|DIMM|DDR3|1066 МГц|8500 МБ/с|CL7|7-7-7|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
IBM DDR3 49Y1563|16 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9-24|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x2Gb 500656-B21|2 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered)|500656-B21, 501533-001||||
HP DDR3 DIMM 1x16Gb 627808-B21|16 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9-24|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x16Gb 593915-B21|16 ГБ|1 шт|DIMM|DDR3|1066 МГц|8500 МБ/с|CL7|7-7-7|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered)|||||
HP DDR3 DIMM 1x2Gb 593907-B21|2 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x16Gb 500666-B21|16 ГБ|1 шт|DIMM|DDR3|1066 МГц|8500 МБ/с|CL7|7-7-7|1.5 В|радиатор|стандартный|поддержка буферизации (Registered), поддержка ECC|500666-B21, 501538-001||||
HP DDR4 DIMM 1x8Gb 805669-B21|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|поддержка ECC|||||
HP DDR3 DIMM 1x2Gb 500209-061|2 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка ECC|||||
HP 1.5V DDR3 DIMM 1x8Gb 516423-B21|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL7|7-7-7|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x16Gb 647881-B21|16 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x16Gb 672633-B21|16 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|672633-B21, 687465-001||||
HP DDR3 DIMM 1x32Gb 627814-B21|32 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL7|7-7-7|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP 1.5V DDR3 DIMM 1x8Gb 647875-B21|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 SO-DIMM 647879-B21|8 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered)|||||
HP DDR4 DIMM 1x4Gb 805667-B21|4 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|поддержка ECC|||||
Cisco DDR3 A02-M316 ГБ2-L|16 ГБ|1 шт|DIMM|DDR3|1066 МГц|8500 МБ/с|CL5|5-5-5|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x8Gb 805347-B21|8 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x8Gb 843311-B21|8 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x64Gb 805358-B21|64 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x8Gb 819880-B21|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|поддержка ECC|||||
Kingston KCP ValueRAM DDR3 1x8Gb KCP313ND8\/8|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|||30 мм|||
HP DDR3 DIMM 1x64Gb 700838-B21|64 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HyperX Fury DDR4 2x8Gb HX429C17FB2K2\/16|16 ГБ|2 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL17|17-19-19|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|HX429C17FB2K2/16, HX429C17FR2K2/16, HX429C17FW2K2/16|34 мм|одноранговая||
HP DDR4 DIMM 1x8Gb 815097-B21|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x8Gb 867853-B21|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x8Gb 838079-B21|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x64Gb 838085-B21|64 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x8Gb 876181-B21|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x64Gb 726724-B21|64 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Dell A9 DDR4 1x32Gb A9781929|32 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Corsair Vengeance LPX DDR4 4x32Gb CMK128GX4M4E3200C16|128 ГБ|4 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||33 мм|||
Kingston KTL DDR4 1x8Gb KTL-TS426S8\/8G|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19||1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||одноранговая||
Corsair Dominator Platinum RGB DDR5 2x32Gb CMT64GX5M2X5600C40|64 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL40|40-40-40-77|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||||multi compatibility|
Dell PowerEdge R430 DDR4 1x8Gb SNP1VRGYC\/8G|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19||1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|A9781927||одноранговая||
Lenovo ThinkSystem SD530 DDR4 1x8Gb 7X77A01302|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL21||1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Lenovo ThinkSystem SD530 DDR4 1x64Gb 7X77A01305|64 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19||1.2 В|без охлаждения|стандартный|поддержка ECC|||||
Kingston KTD DDR3 1x64Gb KTD-PE432\/64G|64 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||
Kingston KTH SO-DIMM DDR4 1x16Gb KTH-PN426E\/16G|16 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка ECC|||двухранговая||
Corsair Vengeance DDR5 4x16Gb CMK64GX5M4B5600Z36|64 ГБ|4 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL36||1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|||||
Crucial DDR5 SO-DIMM 1x16Gb CT16G56C46S5|16 ГБ|1 шт|SO-DIMM|DDR5|5600 МГц|44800 МБ/с|CL46|46-45-45|1.1 В|без охлаждения|стандартный||||||
Dell A6 DDR3 A6996789|16 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|||1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||
Kingston Fury Renegade Pro DDR5 4x16Gb KF560R32RBEK4-64|64 ГБ|4 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL32|32-38-38|1.35 В|без охлаждения|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, поддержка буферизации (Registered)||31.25 мм|одноранговая||
Lenovo ThinkSystem DDR4 1x32Gb 4X77A77496|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22||1.2 В|без охлаждения|стандартный|поддержка ECC|||двухранговая||
Samsung M378 DDR4 1x16Gb M378A2G43CB3-CWE|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22||1.2 В|без охлаждения|стандартный||||||
Lenovo ThinkPad DDR4 SO-DIMM 1x32Gb 4X71D09536|32 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный||||||
HP DDR5 DIMM 1x32Gb P43328-B21|32 ГБ|1 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40||1.1 В|без охлаждения|стандартный||||двухранговая||
Transcend JetRam DDR5 SO-DIMM 1x16Gb JM5600ASE-16G|16 ГБ|1 шт|SO-DIMM|DDR5|5600 МГц|44800 МБ/с|CL46||1.1 В|без охлаждения|стандартный||||||
HP DDR4 DIMM 1x64Gb P06035-B21|64 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22||1.2 В|без охлаждения|стандартный|поддержка ECC|||двухранговая||
HP DDR4 DIMM 1x8Gb 3PL81AT|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|||1.2 В|без охлаждения|стандартный||||одноранговая||
Corsair Vengeance LP DDR3 2x4Gb CML8GX3M2A1600C9|8 ГБ|2 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL9|9-9-9-24|1.5 В|радиатор|стандартный|серия для разгона (overclocking)|CML8GX3M2A1600C9, CML8GX3M2A1600C9B, CML8GX3M2A1600C9G, CML8GX3M2A1600C9R, CML8GX3M2A1600C9W||||
Corsair Mac Memory DDR3 CMSA16GX3M2A1333C9|16 ГБ|2 шт|SO-DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9-24|1.5 В|без охлаждения|стандартный||||||
HyperX Fury DDR3 1x4Gb HX318C10FB\/4|4 ГБ|1 шт|DIMM|DDR3|1866 МГц|14900 МБ/с|CL10|10-11-10-30|1.5 В|радиатор|стандартный|серия для разгона (overclocking)|HX318C10F/4, HX318C10FB/4, HX318C10FR/4, HX318C10FW/4|32.8 мм|||
Kingston Fury Impact DDR5 1x16Gb KF564S38IB-16|16 ГБ|1 шт|SO-DIMM|DDR5|6400 МГц|51200 МБ/с|CL38|38-40-40|1.35 В|без охлаждения|стандартный|серия для разгона (overclocking), поддержка XMP||30 мм|одноранговая||
Patriot Memory Viper 3 DDR3 2x8Gb PV316G160C9KRD|16 ГБ|2 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL9|9-9-9-24|1.5 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|||||
Corsair Dominator Titanium RGB DDR5 2x32Gb CMP64GX5M2B6000Z30|64 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL30|30-36-36-76|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка EXPO, подсветка||||Corsair iCUE|
Micron DDR3 1x8Gb MT16JTF1G64AZ-1G6|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный||MT16JTF1G64AZ-1G6E1||двухранговая||
A-Data Lancer RGB DDR5 1x32Gb AX5U6000C3032G-CLARBK|32 ГБ|1 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL30|30-40-40|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка|AX5U6000C3032G-CLARBK, AX5U6000C3032G-CLARWH|40 мм||multi compatibility|
A-Data XPG Spectrix D45G DDR4 2x16Gb AX4U360016G18I-DCBKD45G|32 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|AX4U360016G18I-DCBKD45G, AX4U360016G18I-DCWHD45G|45.26 мм||multi compatibility|
G.Skill Ripjaws DDR5 SO-DIMM 1x16Gb F5-4800S3434A16GX1-RS|16 ГБ|1 шт|SO-DIMM|DDR5|4800 МГц|38400 МБ/с|CL34|34-34-34|1.1 В|без охлаждения|стандартный||F5-4800S3434A16GA1-RS, F5-4800S3434A16GX1-RS||||
Kingston ValueRAM DDR3 1x4Gb KVR13N9S8H\/4|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|||30 мм|||
HP DDR3 DIMM 1x4Gb 669322-B21|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.5 В|без охлаждения|стандартный|поддержка ECC|||||
HP DDR3 DIMM 1x4Gb 647893-B21|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10666 МБ/с|CL9|9-9-9-24|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|647647-071, 647893-B21||||
HP DDR3 DIMM 1x4Gb 647871-B21|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x4Gb 647873-B21|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x4Gb 647907-B21|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10666 МБ/с|CL9|9-9-9-27|1.35 В|без охлаждения|стандартный|поддержка ECC|||||
HP DDR3 DIMM 1x4Gb 708633-B21|4 ГБ|1 шт|DIMM|DDR3|1866 МГц|14900 МБ/с|CL13|13-13-13-32|1.5 В|без охлаждения|стандартный|поддержка ECC|||||
HP DDR3 DIMM 1x4Gb 708637-B21|4 ГБ|1 шт|DIMM|DDR3|1866 МГц|14900 МБ/с|CL13|13-13-13-32|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x4Gb 713977-B21|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.35 В|без охлаждения|стандартный|поддержка ECC|||||
HP DDR3 DIMM 1x4Gb 500658-B21|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x4Gb 593911-B21|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x4Gb 820077-B21|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с||11-11-11|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR3 DIMM 1x4Gb 593923-B21|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка ECC|||||
HP DDR3 DIMM 1x4Gb 604504-B21|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|604504-B21, 606426-001||||
HP DDR3 DIMM 1x4Gb 619488-B21|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.35 В|без охлаждения|стандартный|поддержка ECC|||||
HP DDR3 DIMM 1x4Gb 604500-B21|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|604500-B21, 606424-001||||
HP DDR3 DIMM 1x4Gb 647869-B21|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Kingston Fury Renegade DDR5 RGB 1x16Gb KF572C38RSA-16|16 ГБ|1 шт|DIMM|DDR5|7200 МГц|57600 МБ/с|CL38|38-44-44|1.45 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм|одноранговая|multi compatibility|
Kingston Fury Renegade Pro DDR5 8x32Gb KF556R28RBE2K8-256|256 ГБ|8 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL28|28-34-34|1.35 В|без охлаждения|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, поддержка буферизации (Registered)||31.25 мм|двухранговая||
Lenovo DDR4 DIMM 1x32Gb 4ZC7A08742|32 ГБ|1 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL21|21-21-21|1.2 В|без охлаждения|стандартный|поддержка ECC|||||
Corsair Dominator Titanium RGB DDR5 2x16Gb CMP32GX5M2B6000Z30|32 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL30|30-36-36-76|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||||Corsair iCUE|
Corsair Vengeance SO-DIMM DDR4 CMSX16GX4M2A2400C16|16 ГБ|2 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL16|16-16-16-39|1.2 В|радиатор|стандартный||||||
