|Подключение|Профессиональная|DVI-D|DVI-I|DisplayPort|Макс. подключаемых мониторов|Охлаждение|Потребляемая мощность|Дополнительное питание|Занимаемых слотов|Длина видеокарты|Модель GPU|Объем памяти|Тип памяти|Разрядность шины|Частота работы GPU|Частота работы памяти|Техпроцесс|Макс. разрешение|Версия DirectX|Версия OpenGL|Потоковых процессоров|Версия потоковых процессоров|Текстурных блоков|HDMI|Кол-во  вентиляторов|Тест Passmark G3D Mark|Маркировка производителя|Версия HDMI|Версия DisplayPort|Рекомендуемая мощность БП от|Поддержка VR|LHR (low hash rate)|Архитектура|Подсветка|miniDisplayPort|USB C|Синхронизация подсветки|Низкопрофильная (low profile)|Поддержка CrossFire/SLI|VGA|Создано для майнинга|Код EAN / UPS / GTIN|Слот M.2|miniHDMI|Внешняя
PNY Quadro K5200|PCI-E v3.0|Есть|1 шт|1 шт|2 шт|4|активное (кулер)|150 Вт|6 pin|2|267 мм|NVIDIA Quadro K5200|8 ГБ|GDDR5|256 бит|650 МГц|6000 МГц|28 нм|4096x2160 пикс|11|4.4|2304|5|192||||||||||||||||||||||
MSI GTX 1050 2G OC|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт||2|177 мм|NVIDIA GeForce GTX 1050|2 ГБ|GDDR5|128 бит|1404 МГц|7000 МГц|14 нм|7680x4320 пикс|12|4.5|640|5|40|1 шт|1 шт|4667 балл(ов)|||||||||||||||||||
Gigabyte GeForce GTX 1050 OC 2G GV-N1050OC-2GD|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт||2|191 мм|NVIDIA GeForce GTX 1050|2 ГБ|GDDR5|128 бит|1404 МГц|7008 МГц|14 нм|7680x4320 пикс|12|4.5|640|5|40|1 шт|2 шт|4667 балл(ов)|GV-N1050OC-2GD||||||||||||||||||
XFX Radeon VII 16GB|PCI-E v3.0||||3 шт|4|активное (кулер)|300 Вт|8 + 8 pin|2|267 мм|AMD Radeon VII|16 ГБ|HBM2|4096 бит|1750 МГц|2000 МГц|7 нм|7680x4320 пикс|12|4.5|3840||240|1 шт|3 шт|13465 балл(ов)||v.2.0b|v.1.4|650 Вт|Есть||||||||||||||
HP Quadro P2200 6YT67AA|PCI-E v3.0|Есть|||4 шт|4|активное (кулер)|75 Вт||1|200 мм|NVIDIA Quadro P2200|5 ГБ|GDDR5X|160 бит|1493 МГц|10000 МГц|16 нм|5120x3200 пикс|12|4.6|1280||||1 шт||||v.1.4|300 Вт|||||||||||||||
EVGA GeForce RTX 3080 Ti XC3 ULTRA GAMING 12G-P5-3955-KR|PCI-E v4.0||||3 шт|4|активное (кулер)|350 Вт|8 + 8 pin|2.2|285 мм|NVIDIA GeForce RTX 3080 Ti|12 ГБ|GDDR6X|384 бит|1725 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|3 шт|26784 балл(ов)|12G-P5-3955-KR|v.2.1|v.1.4a|750 Вт|Есть|Есть|Ampere||||||||||||
ZOTAC GeForce RTX 4070 Ti SUPER Trinity OC White ZT-D40730Q-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|307 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2625 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт|32032 балл(ов)|ZT-D40730Q-10P|v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
ZOTAC GeForce RTX 4080 SUPER AMP Extreme AIRO ZT-D40820B-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3.5|356 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2610 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|3 шт|34155 балл(ов)|ZT-D40820B-10P|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||||||||||
ZOTAC GeForce GTX 1660 Twin Fan ZT-T16600K-10M|PCI-E v3.0||||3 шт|4|активное (кулер)|120 Вт|8 pin|2|216 мм|NVIDIA GeForce GTX 1660|6 ГБ|GDDR5|192 бит|1785 МГц|8000 МГц|12 нм|7680x4320 пикс|12|4.6|1408||88|1 шт|2 шт|11737 балл(ов)|ZT-T16600K-10M|v.2.0b|v.1.4|450 Вт|Есть||||||||||||||
HP Radeon Pro W5700 9GC15AA|PCI-E v4.0|Есть|||||активное (кулер)|||2||AMD Radeon Pro W5700|8 ГБ|GDDR6|256 бит|||||||||||1 шт||||||||||5 шт|1 шт|||||||||
XFX Radeon RX 6650 XT RX-665X8DFDY|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2|241 мм|AMD Radeon RX 6650 XT|8 ГБ|GDDR6|128 бит|2635 МГц|17500 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт|17886 балл(ов)||v.2.1|v.1.4|500 Вт|Есть||Big Navi (RDNA 2)||||||||||||
ZOTAC GeForce RTX 3070 AMP Holo ZT-A30700F-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|240 Вт|8 + 8 pin|2.5|291 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1785 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|2 шт|21358 балл(ов)|ZT-A30700F-10P|v.2.1|v.1.4a|650 Вт|Есть||Ampere||||||||||||
Gigabyte GeForce RTX 4070 Ti SUPER EAGLE OC ICE 16G GV-N407TSEAGLEOC ICE-16GD|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|261 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2640 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт|32032 балл(ов)|GV-N407TSEAGLEOC ICE-16GD|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion||||||||
Asus GeForce RTX 4080 SUPER Noctua OC RTX4080S-O16G-NOCTUA|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|4.3|310 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2640 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||2 шт|3 шт|34155 балл(ов)|RTX4080S-O16G-NOCTUA|v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace||||||||||||
PowerColor Radeon RX 7600 XT Fighter RX 7600 XT 16G-F|PCI-E v4.0||||3 шт|4|активное (кулер)|190 Вт|8 pin|2|232 мм|AMD Radeon RX 7600 XT|16 ГБ|GDDR6|128 бит|2755 МГц|18000 МГц|6 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт||RX 7600 XT 16G-F|v.2.1|v.2.1|600 Вт|||Navi 3X (RDNA 3)||||||||||||
ZOTAC GeForce RTX 4070 Ti SUPER Trinity Black ZT-D40730D-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|307 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2610 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт|32032 балл(ов)|ZT-D40730D-10P|v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
Asus GeForce RTX 4070 SUPER ProArt OC PROART-RTX4070S-O12G|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2.5|300 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2565 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|3 шт|30564 балл(ов)|PROART-RTX4070S-O12G|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace||||||||||||
ZOTAC GeForce RTX 3060 Ti Twin Edge OC ZT-A30610H-10M|PCI-E v4.0||||3 шт|4|активное (кулер)|200 Вт|8 pin|2|222 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6|256 бит|1695 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||1 шт|2 шт|19523 балл(ов)|ZT-A30610H-10M|v.2.1|v.1.4a|650 Вт|Есть||Ampere||||||||||||
MSI GeForce RTX 4080 SUPER 16G EXPERT|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3|312 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2625 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|2 шт|34155 балл(ов)||v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace||||||||||||
Asus GeForce GTX 1650 SUPER TUF OC TUF-GTX1650S-O4G-GAMING|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)||6 pin|2|206 мм|NVIDIA GeForce GTX 1650 SUPER|4 ГБ|GDDR6|128 бит|1800 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|1280||80|1 шт|2 шт|8051 балл(ов)|TUF-GTX1650S-O4G-GAMING|v.2.0b|v.1.4|350 Вт|Есть||||||||||||||
HP Quadro 600 WS093AA|PCI-E v2.0|Есть||1 шт|1 шт|2|активное (кулер)|40 Вт||1|168 мм|NVIDIA Quadro 600|1 ГБ|GDDR3|128 бит||||2560x1600 пикс|11|4.1|96|5|||||WS093AA|||||||||||Есть|||||||
MSI GeForce RTX 3050 LP 6G|PCI-E v4.0||||1 шт|3|активное (кулер)|70 Вт||2|174 мм|NVIDIA GeForce RTX 3050|6 ГБ|GDDR6|96 бит|1470 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2304|||2 шт|2 шт|10553 балл(ов)||v.2.1|v.1.4a|300 Вт|Есть||Ampere|||||Есть|||||||
PNY Quadro T600 VCNT600-PB|PCI-E v3.0|Есть||||3|активное (кулер)|40 Вт||1||NVIDIA Quadro T600|4 ГБ|GDDR6|128 бит||||7680x4320 пикс|12|4.5|640||||1 шт||||||||||4 шт||||||||||
ASRock Radeon RX 6700 XT Challenger Pro 12GB RX6700XT CLP 12G|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2.5|303 мм|AMD Radeon RX 6700 XT|12 ГБ|GDDR6|192 бит|2581 МГц|16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2560||160|1 шт|3 шт|18878 балл(ов)|RX6700XT CLP 12G|v.2.1|v.1.4a|700 Вт|Есть||Big Navi (RDNA 2)||||||Есть||||||
ZOTAC GeForce GTX 1660 Ti 6GB GDDR6 ZT-T16610F-10L|PCI-E v3.0||||3 шт|4|активное (кулер)|120 Вт|8 pin|2|173 мм|NVIDIA GeForce GTX 1660 Ti|6 ГБ|GDDR6|192 бит|1770 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|1536||96|1 шт|2 шт|11730 балл(ов)|ZT-T16610F-10L|v.2.0b|v.1.4|450 Вт|Есть||||||||||||||
Asus GeForce RTX 3070 ROG Strix OC ROG-STRIX-RTX3070-O8G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|3|319 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1935 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||2 шт|3 шт|21358 балл(ов)|ROG-STRIX-RTX3070-O8G-GAMING|v.2.1|v.1.4a|750 Вт|Есть||Ampere|Есть|||Asus Aura Sync||||||||
Gigabyte GeForce GT 1030 Silent Low Profile 2G|PCI-E v3.0||1 шт|||2|пассивное (радиатор)|30 Вт||1|175 мм|NVIDIA GeForce GT 1030|2 ГБ|GDDR5|64 бит|1252 МГц|6008 МГц|14 нм|4096x2160 пикс|12|4.5|384|5|24|1 шт||2208 балл(ов)||||300 Вт||||||||Есть|||||||
ZOTAC GeForce RTX 2060 GAMING ZT-T20600H-10M|PCI-E v3.0||||3 шт|4|активное (кулер)|160 Вт|8 pin|2|209 мм|NVIDIA GeForce RTX 2060|6 ГБ|GDDR6|192 бит|1680 МГц|14000 МГц|12 нм|7680x4320 пикс|12 Ultimate|4.6|1920||120|1 шт|2 шт|13121 балл(ов)|ZT-T20600H-10M|v.2.0|v.1.4|500 Вт|Есть||Turing||||||||||||
MSI Radeon RX 5700 XT MECH OC|PCI-E v4.0||||3 шт|4|активное (кулер)|225 Вт|6 + 8 pin|2.7|232 мм|AMD Radeon RX 5700 XT|8 ГБ|GDDR6|256 бит|1925 МГц|14000 МГц|7 нм|7680x4320 пикс|12|4.6|2560||160|1 шт|2 шт|12813 балл(ов)||v.2.0b|v.1.4|750 Вт|Есть||Navi (RDNA)||||||||||||
INNO3D GeForce RTX 4070 Ti SUPER TWIN X2 OC WHITE N407TS2-166XX-186156W|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2|250 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2640 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|2 шт||N407TS2-166XX-186156W|v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
Asus GeForce RTX 4070 Ti SUPER TUF Gaming White OC 90YV0KF2-M0NA00, TUF-RTX4070TIS-O16G-WHITE-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3.2|305 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2670 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||2 шт|3 шт||90YV0KF2-M0NA00, TUF-RTX4070TIS-O16G-WHITE-GAMING|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||Asus Aura Sync||||||||
Asus GeForce GTX 1650 DUAL OC DUAL-GTX1650-O4G|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт||2|204 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR5|128 бит|1755 МГц|8000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)|DUAL-GTX1650-O4G|v.2.0b|v.1.4|300 Вт|||||||||||||||
PNY Quadro P4000|PCI-E v3.0|Есть|||4 шт|4|активное (кулер)|105 Вт|6 pin|1|241 мм|NVIDIA Quadro P4000|8 ГБ|GDDR5|256 бит|||16 нм|7680x4320 пикс|12|4.5|1792|5.1|||1 шт||||||Есть||||||||Есть||||||
HP Quadro P400 1ME43AA|PCI-E v3.0|Есть|||3 шт|3|активное (кулер)|30 Вт||1|145 мм|NVIDIA Quadro P400|2 ГБ|GDDR5|64 бит|1070 МГц|7000 МГц|14 нм|5120x2880 пикс|12|4.5|256|5.1|16||1 шт|||||||||||||Есть|||||||
ZOTAC GeForce RTX 3080 Trinity OC LHR 12GB ZT-A30820J-10PLHR|PCI-E v4.0||||3 шт|4|активное (кулер)|350 Вт|8 + 8 pin|3|318 мм|NVIDIA GeForce RTX 3080|12 ГБ|GDDR6X|384 бит|1725 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|8960|||1 шт|3 шт|23907 балл(ов)|ZT-A30820J-10PLHR|v.2.1|v.1.4a|750 Вт|Есть|Есть|Ampere|Есть|||||||||||
AFOX GeForce GT 610 AF610-2048D3L7-V6|PCI-E v2.0|||1 шт|||активное (кулер)|28 Вт||1|145 мм|NVIDIA GeForce GT 610|2 ГБ|GDDR3|64 бит|810 МГц|1333 МГц|40 нм|2048x1536 пикс|11|4.2|48|5|4|1 шт|1 шт|||||300 Вт||||||||Есть||1 шт|||||
Asus GeForce RTX 4060 Ti Dual EVO 8GB DUAL-RTX4060TI-8G-EVO|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2.5|227 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2565 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт|22604 балл(ов)|DUAL-RTX4060TI-8G-EVO|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace||||||||||||
Asus GeForce RTX 3050 LP BRK OC 6GB RTX3050-O6G-LP-BRK|PCI-E v4.0||1 шт||1 шт|3|активное (кулер)|||2|182 мм|NVIDIA GeForce RTX 3050|6 ГБ|GDDR6|96 бит|1537 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2304|||1 шт|2 шт|12770 балл(ов)|RTX3050-O6G-LP-BRK|v.2.1|v.1.4a|550 Вт|Есть||Ampere|||||Есть|||||||
INNO3D GeForce RTX 4080 SUPER ICHILL BLACK C408SB-166XX-18700006|PCI-E v4.0||||3 шт|4|гибридное (ватерблок+кулер)|320 Вт|16 pin|2|280 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2610 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|2 шт||C408SB-166XX-18700006|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||multi compatibility||||||||
INNO3D GeForce RTX 4080 SUPER ICHILL X3 C408S3-166XX-187049H|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3|334 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2610 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|3 шт||C408S3-166XX-187049H|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||multi compatibility||||||||
INNO3D GeForce RTX 4080 SUPER X3 OC WHITE N408S3-166XX-18703259|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3|336 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2580 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|3 шт||N408S3-166XX-18703259|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace||||||||||||
INNO3D GeForce RTX 4080 SUPER X3 OC N408S3-166XX-187049N|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3|328 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2580 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|3 шт||N408S3-166XX-187049N|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||multi compatibility||||||||
INNO3D GeForce RTX 3050 6GB TWIN X2 N30502-06D6-1711VA60|PCI-E v4.0||1 шт||1 шт|3|активное (кулер)|||2|222 мм|NVIDIA GeForce RTX 3050|6 ГБ|GDDR6|96 бит|1470 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2304|||1 шт|2 шт|12770 балл(ов)|N30502-06D6-1711VA60|v.2.1|v.1.4a|450 Вт|Есть||Ampere||||||||||||
Asus GeForce RTX 4060 Ti Dual EVO OC 8GB DUAL-RTX4060TI-O8G-EVO|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2.5|227 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2595 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт|22604 балл(ов)|DUAL-RTX4060TI-O8G-EVO|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace||||||||||||
Asus GeForce RTX 3090 ROG Strix OC ROG-STRIX-RTX3090-O24G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 + 8 pin|3|319 мм|NVIDIA GeForce RTX 3090|24 ГБ|GDDR6X|384 бит|1860 МГц|19500 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|10496|||2 шт|3 шт|25031 балл(ов)|ROG-STRIX-RTX3090-O24G-GAMING|v.2.1|v.1.4a|850 Вт|Есть||Ampere|Есть|||Asus Aura Sync||Есть||||||
INNO3D GeForce RTX 4080 SUPER X3 N408S3-166X-18703552|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|2|337 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2550 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|3 шт||N408S3-166X-18703552|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace||||||||||||
Asus GeForce RTX 4060 Ti Dual V2 OC 8GB DUAL-RTX4060TI-O8G-V2|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2|202 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2595 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт|22604 балл(ов)|DUAL-RTX4060TI-O8G-V2|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace||||||||||||
PNY Quadro M4000|PCI-E v3.0|Есть|||4 шт|4|активное (кулер)|120 Вт|6 pin|1|241 мм|NVIDIA Quadro M4000|8 ГБ|GDDR5|256 бит|1500 МГц||28 нм|4096x2160 пикс|12|4.5|1664|5|||1 шт||||||||||||||Есть||||||
MSI GT 710 2GD3|PCI-E v2.0||1 шт|||2|активное (кулер)|19 Вт||2|146 мм|NVIDIA GeForce GT 710|2 ГБ|DDR3|64 бит|954 МГц|1600 МГц|28 нм|4096x2160 пикс|12|4.5|192|5|16|1 шт|1 шт|||||||||||||||1 шт|||||
MSI GT 710 2GD3 LP|PCI-E v2.0||1 шт|||2|активное (кулер)|19 Вт||1|146 мм|NVIDIA GeForce GT 710|2 ГБ|DDR3|64 бит|954 МГц|1600 МГц||4096x2160 пикс|12|4.5|192|5|16|1 шт||||||||||||||Есть||1 шт|||||
PNY Quadro P600|PCI-E v3.0|Есть||||4|активное (кулер)|40 Вт||1|145 мм|NVIDIA Quadro P600|2 ГБ|GDDR5|128 бит|1354 МГц|7000 МГц|14 нм|5120x2880 пикс|12|4.5|384|5.1|24||1 шт||||||||||4 шт|||Есть|||||||
PNY Quadro P1000 VCQP1000-PB|PCI-E v3.0|Есть||||4|активное (кулер)|47 Вт||1|145 мм|NVIDIA Quadro P1000|4 ГБ|GDDR5|128 бит|1354 МГц|7000 МГц|14 нм|5120x2880 пикс|12|4.5|640|5.1|40||1 шт||VCQP1000-PB||||||||4 шт|||Есть|||||||
HP Quadro P1000 1ME01AA|PCI-E v3.0|Есть||||4|активное (кулер)|47 Вт||1|145 мм|NVIDIA Quadro P1000|4 ГБ|GDDR5|128 бит|1354 МГц|7000 МГц|14 нм|5120x2880 пикс|12|4.5|640|5.1|40||1 шт||||||||||4 шт|||Есть|||||||
Gigabyte GeForce GTX 1660 Ti WINDFORCE OC 6G GV-N166TWF2OC-6GD|PCI-E v3.0||||3 шт|4|активное (кулер)||8 pin|2|265 мм|NVIDIA GeForce GTX 1660 Ti|6 ГБ|GDDR6|192 бит|1845 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|1536||96|1 шт|2 шт|11730 балл(ов)|GV-N166TWF2OC-6GD|v.2.0b|v.1.4|450 Вт|Есть|||Есть|||Gigabyte RGB Fusion||||||||
EVGA GeForce RTX 3070 XC3 BLACK GAMING 08G-P5-3751-KR|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|8 + 8 pin|2|285 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1725 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|3 шт|21358 балл(ов)|08G-P5-3751-KR|v.2.1|v.1.4a|650 Вт|Есть||Ampere|Есть|||||||||||
MSI Radeon RX 6700 XT 12G|PCI-E v4.0||||3 шт|4|активное (кулер)|230 Вт|6 + 8 pin|2|267 мм|AMD Radeon RX 6700 XT|12 ГБ|GDDR6|192 бит|2581 МГц|16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2560||160|1 шт|2 шт|18878 балл(ов)||v.2.1|v.1.4|650 Вт|Есть||Big Navi (RDNA 2)||||||Есть||||||
EVGA GeForce RTX 3080 XC3 BLACK GAMING LHR 10G-P5-3881-KL|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|8 + 8 pin|2|285 мм|NVIDIA GeForce RTX 3080|10 ГБ|GDDR6X|320 бит|1710 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|8704|||1 шт|3 шт|23907 балл(ов)|10G-P5-3881-KL|v.2.1|v.1.4a|750 Вт|Есть|Есть|Ampere|Есть|||||||||||
Asus Radeon RX 7600 XT Dual OC DUAL-RX7600XT-O16G|PCI-E v4.0||||3 шт|4|активное (кулер)|190 Вт|8 pin|2.5|227 мм|AMD Radeon RX 7600 XT|16 ГБ|GDDR6|128 бит|2801 МГц|18000 МГц|6 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт||DUAL-RX7600XT-O16G|v.2.1|v.2.1|600 Вт|||Navi 3X (RDNA 3)||||||||||||
MSI GeForce RTX 4070 Ti SUPER 16G VENTUS 2X WHITE|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|242 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2625 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|2 шт|||v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
MSI GeForce RTX 4070 Ti SUPER 16G VENTUS 2X WHITE OC|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|242 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2655 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|2 шт|||v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
MSI GeForce RTX 4080 SUPER 16G GAMING TRIO|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3.2|337 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2565 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|3 шт|||v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
AFOX GeForce GT 710 AF710-2048D3L7-V1|PCI-E v2.0||1 шт|||2|активное (кулер)|20 Вт||1|150 мм|NVIDIA GeForce GT 710|2 ГБ|GDDR3|64 бит|1600 МГц|5010 МГц|28 нм|3840x2160 пикс|12|4.4|192|5|16|1 шт|1 шт|||||300 Вт||||||||Есть||1 шт|||||
MSI N730-2GD3|PCI-E v2.0|||1 шт||2|активное (кулер)|49 Вт||2|152 мм|NVIDIA GeForce GT 730|2 ГБ|DDR3|128 бит|700 МГц|1800 МГц|28 нм|4096x2160 пикс|12|4.4|384|5|32|1 шт||||||||||||||||1 шт|||||
HP Quadro K4200 J3G89AA|PCI-E v2.0|Есть|1 шт||2 шт|3|активное (кулер)|108 Вт||1||NVIDIA Quadro K4200|4 ГБ|GDDR5|256 бит|771 МГц|5400 МГц|28 нм|3840x2160 пикс|11|4.4|1344|5|112||||||||||||||||Есть||||||
