|Подключение|Профессиональная|DVI-D|DVI-I|DisplayPort|Макс. подключаемых мониторов|Охлаждение|Потребляемая мощность|Дополнительное питание|Занимаемых слотов|Длина видеокарты|Модель GPU|Объем памяти|Тип памяти|Разрядность шины|Частота работы GPU|Частота работы памяти|Техпроцесс|Макс. разрешение|Версия DirectX|Версия OpenGL|Потоковых процессоров|Версия потоковых процессоров|Текстурных блоков|HDMI|Кол-во  вентиляторов|Тест Passmark G3D Mark|Маркировка производителя|Версия HDMI|Версия DisplayPort|Рекомендуемая мощность БП от|Поддержка VR|LHR (low hash rate)|Архитектура|Подсветка|miniDisplayPort|USB C|Синхронизация подсветки|Низкопрофильная (low profile)|Поддержка CrossFire/SLI|VGA|Создано для майнинга|Код EAN / UPS / GTIN|Слот M.2|miniHDMI|Внешняя
MSI GeForce RTX 3060 GAMING X TRIO 12G|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2.7|323 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1852 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|1 шт|3 шт|16618 балл(ов)||v.2.1|v.1.4a|550 Вт|Есть||Ampere|Есть|||MSI Mystic Light Sync|||||4719072793807|||
Gigabyte GeForce RTX 4070 SUPER GAMING OC 12G GV-N407SGAMING OC-12GD|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|3|300 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит||21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|3 шт||GV-N407SGAMING OC-12GD|v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion||||||||
AFOX Radeon R5 230 AFR5230-2048D3L5|PCI-E v2.1||1 шт|||2|активное (кулер)|75 Вт||1|145 мм|AMD Radeon R5 230|2 ГБ|GDDR3|64 бит|625 МГц|1334 МГц|40 нм|2048x1536 пикс|11|4.3|160|5|8|1 шт|1 шт|||||300 Вт||||||||Есть||1 шт|||||
XFX Radeon RX 7600 Core RX-76PSWFTFY|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2|241 мм|AMD Radeon RX 7600|8 ГБ|GDDR6|128 бит|2655 МГц|18000 МГц|6 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт||RX-76PSWFTFY|v.2.1|v.2.1|550 Вт|||Navi 3X (RDNA 3)|||||||||0840191500725|||
MSI GeForce RTX 4070 Ti SUPER 16G GAMING SLIM|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|307 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2625 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт|||v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
Gigabyte GeForce RTX 4070 SUPER WINDFORCE OC 12G GV-N407SWF3OC-12GD|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2.5|261 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит||21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|3 шт||GV-N407SWF3OC-12GD|v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
MSI Radeon RX 5700 XT GAMING X|PCI-E v4.0||||3 шт|4|активное (кулер)|225 Вт|8 + 8 pin|2.7|297 мм|AMD Radeon RX 5700 XT|8 ГБ|GDDR6|256 бит|1980 МГц|14000 МГц|7 нм|7680x4320 пикс|12|4.6|2560||160|1 шт|2 шт|12813 балл(ов)||v.2.0b|v.1.4|750 Вт|Есть||Navi (RDNA)|Есть|||MSI Mystic Light Sync||||||||
Asus GeForce RTX 4060 Ti Dual SSD OC 8GB DUAL-RTX4060TI-O8G-SSD|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2.5|227 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2595 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт|22604 балл(ов)|DUAL-RTX4060TI-O8G-SSD|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace||||||||||Есть||
Gigabyte GeForce RTX 3080 AORUS XTREME WATERFORCE 10G GV-N3080AORUSX W-10GD|PCI-E v4.0||||3 шт|4|гибридное (ватерблок+кулер)||8 + 8 pin|2|252 мм|NVIDIA GeForce RTX 3080|10 ГБ|GDDR6X|320 бит|1845 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|8704|||3 шт|2 шт|23907 балл(ов)|GV-N3080AORUSX W-10GD|v.2.1|v.1.4a|750 Вт|Есть|||Есть|||Gigabyte RGB Fusion||||||||
MSI GeForce RTX 3060 VENTUS 3X 12G|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2|316 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1777 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|1 шт|3 шт|16618 балл(ов)||v.2.1|v.1.4a||Есть||Ampere||||||||||||
MSI GT 1030 2GH OC|PCI-E v3.0||1 шт|||2|пассивное (радиатор)|30 Вт||2|147 мм|NVIDIA GeForce GT 1030|2 ГБ|GDDR5|64 бит|1265 МГц|6008 МГц|14 нм|4096x2160 пикс|12|4.5|384|5|24|1 шт||2208 балл(ов)||||300 Вт|||||||||||||||
Gigabyte GeForce RTX 3080 GAMING OC 12G LHR GV-N3080GAMING OC-12GD|PCI-E v4.0||||3 шт|4|активное (кулер)|350 Вт|8 + 8 pin|2.7|320 мм|NVIDIA GeForce RTX 3080|12 ГБ|GDDR6X|384 бит|1755 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|8960|||2 шт|3 шт||GV-N3080GAMING OC-12GD|v.2.1|v.1.4a|750 Вт|Есть|Есть||Есть|||Gigabyte RGB Fusion||||||||
MSI GeForce GT 730 N730-2GD3V2|PCI-E v2.0||1 шт|||2|активное (кулер)|49 Вт||2|151 мм|NVIDIA GeForce GT 730|2 ГБ|DDR3|128 бит|700 МГц|1800 МГц|28 нм|4096x2160 пикс|12|4.4|384|5|32|1 шт|1 шт|||||||||||||||1 шт|||||
Gigabyte GeForce GT 710 GV-N710D5-1GI|PCI-E v2.0||1 шт|||2|активное (кулер)|||1|164 мм|NVIDIA GeForce GT 710|1 ГБ|GDDR5|32 бит|954 МГц|5010 МГц|28 нм|4096x2160 пикс|12|4.5|192|5|16|1 шт|1 шт|||||300 Вт||||||||||1 шт|||||
MSI GeForce RTX 4080 12GB VENTUS 3X|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin||308 мм|NVIDIA GeForce RTX 4080|12 ГБ|GDDR6X|192 бит||21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|||v.2.1a|v.1.4a|700 Вт|Есть||||||||||||||
