|По направлению|Socket|Форм-фактор|Фазы питания|Радиатор VRM|Размеры (ВхШ)|DDR5|Форм-фактор слота для памяти|Режим работы|Максимальная тактовая частота|Максимальный объем памяти|Поддержка XMP|Поддержка EXPO|Слотов PCI-E 16x|Поддержка PCI Express|Стальные PCI-E разъемы|Выход HDMI|Версия HDMI|LAN (RJ-45)|Кол-во LAN-портов|LAN контроллер|Основной разъем питания|Питание процессора|Разъемов питания кулеров|CPU Fan 4-pin|Chassis/Water Pump Fan 4-pin|Чипсет|BIOS|UEFI BIOS|SATA 3 (6 Гбит/с)|M.2 разъем|Интерфейс M.2|Версия интерфейса M.2|Охлаждение SSD M.2|Интегрированный RAID контроллер|USB 2.0|USB 3.2 gen1|USB C 3.2 gen1|ARGB LED strip|Аудиочип|Звук (каналов)|USB 3.2 gen2|USB C 3.2 gen2|BIOS FlashBack|Тепловые трубки|POST-кодер|DDR4|Поддержка ECC|Встроенная видеокарта|Модель встроенной видеокарты|Выход D-Sub (VGA)|Wi-Fi|Bluetooth|CPU/Water Pump Fan 4-pin|Активное охлаждение|U.2 разъем|TPM-коннектор|RGB LED strip|Оптический S/P-DIF|USB4|Интерфейс Thunderbolt|Металлический бэкплейт|LED подсветка|Синхронизация подсветки|Слотов PCI-E 1x|Поддержка CrossFire (AMD)|Поддержка SLI (NVIDIA)|Поддержка DualBIOS|Дополнительно|PS/2|DDR3|Слотов PCI-E 8x|PCI-слотов|eSATA разьем|Выход DVI|Слотов PCI-E 4x|COM-порт|DisplayPort|Встроенный процессор|Модель встроенного процессора|Маркировка производителя|Режимы PCI-E|Версия DisplayPort|Разъем Thunderbolt AIC|Южный мост|USB C 3.2 gen2x2|Поддержка Alternate Mode|Усилитель|Clear CMOS|SAS разъем|IDE разъем|SATA 2 (3 Гбит/с)|Кол-во socket'ов|Поддержка AMP|Гибридный режим|Коаксиальный выход|Поддержка Power Delivery|Код EAN / UPS / GTIN|Водяное охлаждение|SATA3 (6 Гбит/с)|LPT-порт|SATA2 (3 Гбит/с)|USB C 3.2 gen3x2|mSATA|DDR2
Asus PRIME Z790M-PLUS DDR4|игровая для разгона (overclocking)|Intel LGA 1700|micro-ATX|11 / 10+1 /|Есть|244x244 мм||DIMM|2-х канальный|5333 МГц|128 ГБ|Есть||2 шт|5.0|Есть|Есть|v.2.1|1 Гбит/с|1 шт|Intel|24-контактный|8+4-контактное|6 шт|2 шт|3 шт|Intel Z790|Ami|Есть||3 шт|1xSATA/PCI-E 4x, 2xPCI-E 4x / PCI-E 4.0 /|||Есть|2 шт|1 шт|1 шт|3 шт|Realtek|7.1|1 шт|||||4 слота(ов)|||||||1 шт|||Есть|1 шт|||||||2 шт|||||||||||||Есть||||16x/4x|v.1.4|||1 шт||||||||||||||4 шт|||||
ASRock B760M PG SONIC WiFi|геймерская|Intel LGA 1700|micro-ATX|14 / 12+1+1 /|Есть|244x244 мм|4 слота(ов)|DIMM|2-х канальный|7200 МГц|128 ГБ|Есть||1 шт|5.0|Есть|Есть|v.2.1|2.5 Гбит/с|1 шт|Dragon RTL8125BG|24-контактный|8+8-контактное|5 шт|1 шт|3 шт|Intel B760|Ami|Есть||3 шт|3xPCI-E 4x / PCI-E 4.0 /||Есть|Есть|2 шт|1 шт||3 шт|Realtek ALC897|7.1|1 шт|1 шт|||||||||Wi-Fi 6E (802.11ax)|+|1 шт|||Есть|1 шт|||||Есть|ASRock Polychrome Sync|1 шт|||||1 шт||||||||Есть|||||v.1.4|||||||||||||||4710483941788||4 шт|||||
Asus PRIME H310M-C|для дома/офиса|Intel LGA 1151 v2|micro-ATX|4||244x193 мм||DIMM|2-х канальный|2666 МГц|32 ГБ|Есть||1 шт|3.0||||1 Гбит/с|1 шт|Realtek RTL8111H|24-контактный|4-контактное|2 шт|||Intel H310|Ami|Есть||1 шт|1xSATA/PCI-E 4x||||1 шт|1 шт|||Realtek ALC887|7.1||||||2 слота(ов)||||Есть||||||||||||||2 шт|||||2 шт|||1 шт||DVI-D||Есть|||||||||||||||||||||||4 шт|||||
Asus ProArt X570-CREATOR WIFI 90MB18Z0-M0EAY0|игровая для разгона (overclocking)|AMD AM4|ATX|16 / 14+2 /|Есть|305x245 мм||DIMM|2-х канальный|5100 МГц|128 ГБ|Есть||3 шт|4.0|Есть|Есть|v.2.1|10 Гбит/с / Marvell AQtion AQC113CS /|2 шт|Marvell AQtion AQC113CS, Intel I225-V / Intel I225-V (2.5 Гбит/с) /|24-контактный|8+4-контактное|8 шт|2 шт|4 шт|AMD X570S|Ami|Есть||3 шт|2xSATA/PCI-E 4x, 1xPCI-E 4x||Есть|Есть|3 шт|1 шт||3 шт|Realtek S1220A|7.1|4 шт|1 шт||||4 слота(ов)|||||Wi-Fi 6E (802.11ax)|Bluetooth v 5.2|2 шт|||Есть|1 шт|||v4 x 2 шт||||||||||||||||||||90MB18Z0-M0EAY0||||||Есть|||||||||||||6 шт|||||
ASRock Z690 Phantom Gaming 4/D5 Z690 Phantom Gaming 4\/D5|игровая для разгона (overclocking)|Intel LGA 1700|ATX|9|Есть|305x244 мм|4 слота(ов)|DIMM|2-х канальный|5800 МГц|128 ГБ|Есть||2 шт|5.0|Есть|Есть|v.2.1|1 Гбит/с|1 шт|Intel I219V|24-контактный|8+4-контактное|6 шт|1 шт|4 шт|Intel Z690|Ami|Есть||3 шт|1xSATA/PCI-E 4x, 2xPCI-E 4x|||Есть|1 шт|2 шт||3 шт|Realtek ALC897|7.1|1 шт|1 шт|||||||||||1 шт|||Есть|1 шт|||||||3 шт|Есть||||1 шт||||||||||||16x/4x||v4 1 шт||1 шт||||||||||||||4 шт|||||
Asus PRIME H610M-E D4-CSM|для дома/офиса|Intel LGA 1700|micro-ATX|8||244x211 мм||DIMM|2-х канальный|3200 МГц|64 ГБ|Есть||1 шт|4.0||Есть|v.2.1|1 Гбит/с|1 шт|Realtek|24-контактный|8-контактное|3 шт|1 шт|2 шт|Intel H610|Ami|Есть||2 шт|2xPCI-E 4x||||2 шт|1 шт|||Realtek|7.1||||||2 слота(ов)||||Есть||||||Есть||||||||1 шт|||||2 шт||||||||Есть|||||v.1.4|||||||||||||||||4 шт|||||
Asus ROG MAXIMUS XII FORMULA 90MB1370-M0EAY0|игровая для разгона (overclocking)|Intel LGA 1200|ATX|15|Есть|305x244 мм||DIMM|2-х канальный|4800 МГц|128 ГБ|Есть||3 шт|3.0|Есть|||10 Гбит/с / Marvell AQtion AQC107 /|2 шт|1xMarvell AQtion AQC107, 1xIntel I225-V / Intel I225-V (2.5 Гбит/с) /|24-контактный|8+4-контактное|5 шт|||Intel Z490|Ami|Есть||3 шт|3xSATA/PCI-E 4x||Есть|Есть|2 шт|6 шт|||SupremeFX / CODEC S1220 /|7.1|3 шт|1 шт|||Есть|4 слота(ов)|||||Wi-Fi 6 (802.11ax) / Intel Wi-Fi 6 AX201 /|Bluetooth v 5.1||||||Есть||||Есть|Asus Aura Sync|1 шт|Есть|Есть|||1 шт|||||||||||90MB1370-M0EAY0|16x/0x/4x, 8x/8x/4x|||||||||||||||||Есть|6 шт|||||
ASRock B550 Taichi|игровая для разгона (overclocking)|AMD AM4|ATX|16|Есть|305x244 мм||DIMM|2-х канальный|5000 МГц|128 ГБ|Есть||3 шт|4.0|Есть|Есть|v.2.1|2.5 Гбит/с|1 шт|Intel I225V|24-контактный|8+8-контактное|7 шт|||AMD B550|Ami|Есть|8 шт / 4xASMedia ASM1061 /|2 шт|1xSATA/PCI-E 4x, 1xPCI-E 4x||Есть|Есть|2 шт|2 шт|||Realtek ALC1220|7.1|1 шт|1 шт||Есть|Есть|4 слота(ов)|||||Wi-Fi 6 (802.11ax)|Bluetooth v 5.1||||||Есть||||Есть|ASRock Polychrome Sync|2 шт|Есть||||||||||||Есть||||16x/0x/4x, 8x/8x/4x|v.1.4|||||Dual OP Amplifiers||||||||||4710483931642|||||||
ASRock B650M PG Riptide|игровая для разгона (overclocking)|AMD AM5|micro-ATX|15 / 12+2+1 /|Есть|244x244 мм|4 слота(ов)|DIMM|2-х канальный|6200 МГц|128 ГБ|Есть|Есть|2 шт|4.0|Есть|Есть|v.2.1|2.5 Гбит/с|1 шт|Dragon RTL8125BG|24-контактный|8+4-контактное|5 шт|1 шт|3 шт|AMD B650|Ami|Есть||2 шт|2xPCI-E 4x / M2_1 PCI-E Gen5x4 /||Есть|Есть|2 шт|2 шт|1 шт|3 шт|Realtek ALC897|4|1 шт|1 шт|||||||||||1 шт|||Есть|1 шт|||||Есть|ASRock Polychrome Sync|2 шт|Есть||||||||||||Есть||||16x/4x|v.1.4|v4 1 шт||||||||||||||||4 шт|||||
ASRock B560 Pro4|геймерская|Intel LGA 1200|ATX|8|Есть|305x244 мм||DIMM|2-х канальный|4800 МГц|128 ГБ|Есть||2 шт|4.0|Есть|Есть|v.2.0|1 Гбит/с|1 шт|Intel I219V|24-контактный|8-контактное|7 шт|1 шт|5 шт|Intel B560|Ami|Есть||3 шт|2xSATA/PCI-E 4x, 1xPCI-E 4x||Есть||2 шт|1 шт|1 шт|2 шт|Realtek ALC897|7.1||||||4 слота(ов)|||||||1 шт|||Есть|2 шт|||||Есть|ASRock Polychrome Sync|2 шт|||||1 шт||||||||Есть|||||v.1.4|||||||||||||||||6 шт|||||
ASRock X570 PG Velocita 90-MXBER0-A0UAYZ|игровая для разгона (overclocking)|AMD AM4|ATX|14|Есть|305x244 мм||DIMM|2-х канальный|5000 МГц|128 ГБ|Есть||2 шт|4.0|Есть|Есть|v.2.1|2.5 Гбит/с|1 шт|Killer E3100G|24-контактный|8+4-контактное|6 шт|||AMD X570|Ami|Есть||2 шт|1xSATA/PCI-E 4x, 1xPCI-E 4x||Есть|Есть|2 шт|2 шт|1 шт||Realtek ALC1220|7.1|1 шт|1 шт||Есть|Есть|4 слота(ов)|||||Wi-Fi 6 (802.11ax) / Killer AX1650x /|Bluetooth v 5.1||Есть||||Есть||||Есть|ASRock Polychrome Sync|3 шт|Есть||||||||||||Есть|||90-MXBER0-A0UAYZ||v.1.4|v3 1 шт||||Dual OP Amplifiers||||||||||||8 шт|||||
Asus PRIME Z790-P WIFI DDR4|игровая для разгона (overclocking)|Intel LGA 1700|ATX|15 / 14+1 /|Есть|305x234 мм||DIMM|2-х канальный|5333 МГц|128 ГБ|Есть||4 шт|5.0|Есть|Есть|v.2.1|2.5 Гбит/с|1 шт|Realtek|24-контактный|8+4-контактное|6 шт|2 шт|3 шт|Intel Z790|Ami|Есть||3 шт|1xSATA/PCI-E 4x, 2xPCI-E 4x / PCI-E 4.0 /||Есть|Есть|2 шт|2 шт||3 шт|Realtek|7.1|1 шт|1 шт||||4 слота(ов)|||||Wi-Fi 6 (802.11ax)|Bluetooth v 5.2|1 шт|||Есть|2 шт|||||||1 шт|||||1 шт||||||||Есть|||||v.1.4|||1 шт||||||||||||||4 шт|||||
Asus PRIME Z790-P DDR4|игровая для разгона (overclocking)|Intel LGA 1700|ATX|15 / 14+1 /|Есть|305x234 мм||DIMM|2-х канальный|5333 МГц|128 ГБ|Есть||4 шт|5.0|Есть|Есть|v.2.1|2.5 Гбит/с|1 шт|Realtek|24-контактный|8+4-контактное|6 шт|2 шт|3 шт|Intel Z790|Ami|Есть||3 шт|1xSATA/PCI-E 4x, 2xPCI-E 4x / PCI-E 4.0 /||Есть|Есть|2 шт|2 шт||3 шт|Realtek|7.1|1 шт|1 шт||||4 слота(ов)|||||||1 шт|||Есть|1 шт|||||||1 шт|||||1 шт||||||||Есть|||||v.1.4|||1 шт||||||||||||||4 шт|||||
Asus PRIME X670E-PRO WIFI-CSM|игровая для разгона (overclocking)|AMD AM5|ATX|16 / 14+2 /|Есть|305x244 мм|4 слота(ов)|DIMM|2-х канальный|6400 МГц|128 ГБ||Есть|2 шт|5.0|Есть|Есть|v.2.1|2.5 Гбит/с|1 шт|Realtek|24-контактный|8+8-контактное|7 шт|2 шт|4 шт|AMD B650E|Ami|Есть||4 шт|1xSATA/PCI-E 4x, 3xPCI-E 4x||Есть|Есть|3 шт|1 шт|1 шт|2 шт|Realtek S1220A|7.1|3 шт|1 шт|||||||||Wi-Fi 6E (802.11ax)|Bluetooth v 5.2|1 шт||||1 шт|Есть||||Есть|Asus Aura Sync||||||||||||1 шт||Есть||||16x/4x/4x|v.1.4|||1 шт||||||||||||||4 шт|||||
Asus Prime H410M-K R2.0 90MB1A70-M0EAY0|для дома/офиса|Intel LGA 1200|micro-ATX|8||244x244 мм||DIMM|2-х канальный|2933 МГц|64 ГБ|Есть||1 шт|3.0||Есть|v.1.4|1 Гбит/с|1 шт|Intel I219-V|24-контактный|8-контактное|2 шт|1 шт|1 шт|Intel H410|Ami|Есть||1 шт|1xSATA/PCI-E 4x|||Есть|2 шт|1 шт|||Realtek ALC897 / ALC887 /|7.1||||||2 слота(ов)||||||||||Есть||||||||2 шт|||||1 шт|||||DVI-D||||||90MB1A70-M0EAY0|||||||||||||||||||4 шт|||||
Gigabyte B760M AORUS PRO AX DDR4|геймерская|Intel LGA 1700|micro-ATX|16 / 14+1+1 /|Есть|244x244 мм||DIMM|2-х канальный|5333 МГц|128 ГБ|Есть||2 шт|4.0|Есть|Есть|v.2.0|2.5 Гбит/с|1 шт|Realtek|24-контактный|8+4-контактное|6 шт|2 шт|4 шт|Intel B760|Ami|Есть||2 шт|2xPCI-E 4x||Есть|Есть|2 шт|1 шт||2 шт|Realtek|7.1|1 шт|1 шт||Есть||4 слота(ов)|||||Wi-Fi 6E (802.11ax) / Intel AX211 /|Bluetooth v 5.3||||Есть|2 шт|Есть||||Есть|Gigabyte RGB Fusion||||||||||||||Есть||||16x/4x|v.1.2|||1 шт||||||||||||||4 шт|||||
Asus TUF GAMING Z590-PLUS|игровая для разгона (overclocking)|Intel LGA 1200|ATX|16|Есть|305x244 мм||DIMM|2-х канальный|5133 МГц|128 ГБ|Есть||2 шт|4.0|Есть|Есть|v.2.0|2.5 Гбит/с|1 шт|Intel I225-V|24-контактный|8+4-контактное|6 шт|||Intel Z590|Ami|Есть||3 шт|2xSATA/PCI-E 4x, 1xPCI-E 4x||Есть|Есть|2 шт|1 шт|1 шт||Realtek ALC S1200A|7.1|2 шт|||||4 слота(ов)||||||||||||Есть||||Есть|Asus Aura Sync|2 шт|||||1 шт||||||||Есть|||||v.1.4|v4 1 шт||1 шт||||||||||||||6 шт|||||
ASRock Z790 PG-ITX/TB4 Z790 PG-ITX\/TB4|игровая для разгона (overclocking)|Intel LGA 1700|mini-ITX|12 / 10+1+1 /|Есть|170x170 мм|2 слота(ов)|DIMM|2-х канальный|6800 МГц|64 ГБ|Есть||1 шт|5.0|Есть|Есть|v.2.1|2.5 Гбит/с|1 шт|Killer E3100X|24-контактный|8-контактное|3 шт|2 шт|1 шт|Intel Z790|Ami|Есть||3 шт|1xSATA/PCI-E 4x, 2xPCI-E 4x / PCI-E Gen4 /||Есть|Есть|1 шт|1 шт||1 шт|Realtek ALC4082|7.1|6 шт|||Есть|||||||Wi-Fi 6E (802.11ax)|+|||||1 шт|Есть||v4 x 2 шт||Есть|ASRock Polychrome Sync||||||||||||||Есть|||||v.1.4|||2 шт|Есть|||||||||||4710483941108||3 шт|||||
Gigabyte Z690 AORUS ULTRA|игровая для разгона (overclocking)|Intel LGA 1700|ATX|19 / 16+1+2 /|Есть|305x244 мм|4 слота(ов)|DIMM|2-х канальный|6200 МГц|128 ГБ|Есть||3 шт|5.0|Есть|||2.5 Гбит/с|1 шт|Intel 2.5GbE|24-контактный|8+4-контактное|8 шт|1 шт|6 шт|Intel Z690|Ami|Есть||4 шт|1xSATA/PCI-E 4x, 3xPCI-E 4x|||Есть|2 шт|1 шт||2 шт|Realtek ALC4080|7.1|4 шт||||Есть||||||Wi-Fi 6 (802.11ax) / Intel Wi-Fi 6 AX200 /|Bluetooth v 5.2|1 шт|||Есть|2 шт|Есть|||||||Есть||||||||||||Есть|||||v.1.2|||1 шт||||||||||||||6 шт|||||
ASRock Z690 Pro RS|игровая для разгона (overclocking)|Intel LGA 1700|ATX|13|Есть|305x244 мм||DIMM|2-х канальный|5000 МГц|128 ГБ|Есть||3 шт|5.0|Есть|Есть|v.2.1|2.5 Гбит/с|1 шт|Dragon RTL8125BG|24-контактный|8+4-контактное|6 шт|1 шт|4 шт|Intel Z690|Ami|Есть||3 шт|2xSATA/PCI-E 4x, 1xPCI-E 4x||Есть|Есть|2 шт|2 шт||3 шт|Realtek ALC897|7.1|2 шт|||||4 слота(ов)|||||||1 шт|||Есть|1 шт|||||Есть|ASRock Polychrome Sync|2 шт|Есть||||1 шт||||||||Есть|||||v.1.4|||1 шт||||||||||||||8 шт|||||
Gigabyte GA-A320M-H|для дома/офиса|AMD AM4|micro-ATX|6||244x195 мм||DIMM|2-х канальный|3200 МГц|32 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek GbE|24-контактный|8-контактное|2 шт|||AMD A320|Ami|Есть||1 шт|1xSATA/PCI-E 4x|||Есть|2 шт|1 шт|||Realtek ALC887|7.1||||||2 слота(ов)||||||||||||||||||2 шт|||||2 шт|||||DVI-D|||||||||||||||||||||||||4 шт|||||
