|По направлению|Socket|Форм-фактор|Фазы питания|Радиатор VRM|Размеры (ВхШ)|DDR5|Форм-фактор слота для памяти|Режим работы|Максимальная тактовая частота|Максимальный объем памяти|Поддержка XMP|Поддержка EXPO|Слотов PCI-E 16x|Поддержка PCI Express|Стальные PCI-E разъемы|Выход HDMI|Версия HDMI|LAN (RJ-45)|Кол-во LAN-портов|LAN контроллер|Основной разъем питания|Питание процессора|Разъемов питания кулеров|CPU Fan 4-pin|Chassis/Water Pump Fan 4-pin|Чипсет|BIOS|UEFI BIOS|SATA 3 (6 Гбит/с)|M.2 разъем|Интерфейс M.2|Версия интерфейса M.2|Охлаждение SSD M.2|Интегрированный RAID контроллер|USB 2.0|USB 3.2 gen1|USB C 3.2 gen1|ARGB LED strip|Аудиочип|Звук (каналов)|USB 3.2 gen2|USB C 3.2 gen2|BIOS FlashBack|Тепловые трубки|POST-кодер|DDR4|Поддержка ECC|Встроенная видеокарта|Модель встроенной видеокарты|Выход D-Sub (VGA)|Wi-Fi|Bluetooth|CPU/Water Pump Fan 4-pin|Активное охлаждение|U.2 разъем|TPM-коннектор|RGB LED strip|Оптический S/P-DIF|USB4|Интерфейс Thunderbolt|Металлический бэкплейт|LED подсветка|Синхронизация подсветки|Слотов PCI-E 1x|Поддержка CrossFire (AMD)|Поддержка SLI (NVIDIA)|Поддержка DualBIOS|Дополнительно|PS/2|DDR3|Слотов PCI-E 8x|PCI-слотов|eSATA разьем|Выход DVI|Слотов PCI-E 4x|COM-порт|DisplayPort|Встроенный процессор|Модель встроенного процессора|Маркировка производителя|Режимы PCI-E|Версия DisplayPort|Разъем Thunderbolt AIC|Южный мост|USB C 3.2 gen2x2|Поддержка Alternate Mode|Усилитель|Clear CMOS|SAS разъем|IDE разъем|SATA 2 (3 Гбит/с)|Кол-во socket'ов|Поддержка AMP|Гибридный режим|Коаксиальный выход|Поддержка Power Delivery|Код EAN / UPS / GTIN|Водяное охлаждение|SATA3 (6 Гбит/с)|LPT-порт|SATA2 (3 Гбит/с)|USB C 3.2 gen3x2|mSATA|DDR2
ASRock A620I Lightning WiFi|для дома/офиса|AMD AM5|mini-ITX|11 / 8+2+1 /|Есть|170x170 мм|2 слота(ов)|DIMM|2-х канальный|7200 МГц|96 ГБ|Есть|Есть|1 шт|4.0|Есть|Есть|v.2.1|2.5 Гбит/с|1 шт|Dragon RTL8125BG|24-контактный|8-контактное|3 шт|2 шт|1 шт|AMD A620|Ami|Есть|2 шт|2 шт|2xPCI-E 4x|1x4.0, 1x3.0|Есть|Есть|2 шт|1 шт|1 шт|2 шт|Realtek ALC897|7.1|2 шт|1 шт|Есть|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ASRock WRX80 Creator R2.0|HEDT (High-End DeskTop)|AMD TRX4 / 3000WX/5000WX /|E-ATX|8 / 105A SPS /|Есть|305x272 мм||DIMM|2-х канальный|4400 МГц|2048 ГБ|||7 шт|4.0|Есть|||10 Гбит/с|2 шт|Aquantia AQC113CS|24-контактный|8+8-контактное / 1x6-pin 12V /|5 шт|1 шт|3 шт|AMD WRX80|Ami|Есть|8 шт|2 шт|1xSATA/PCI-E 4x, 1xPCI-E 4x||Есть|Есть|1 шт|2 шт||2 шт|Realtek ALC4050H / + ALC1220 /|7.1|4 шт|1 шт||Есть|Есть|8 слота(ов)|Есть|Есть|Aspeed AST2500|Есть|Wi-Fi 6E (802.11ax)|+|1 шт|Есть|1 шт|Есть|1 шт|Есть|2 шт|v4 x 2 шт||||||||||||||||||||||||||||||||||||||||||||
Gigabyte X570 AORUS MASTER|игровая для разгона (overclocking)|AMD AM4|ATX|14|Есть|305x244 мм||DIMM|2-х канальный|4400 МГц|128 ГБ|Есть||3 шт|4.0|Есть|||2.5 Гбит/с / Realtek GbE /|2 шт|Intel GbE, Realtek GbE|24-контактный|8+8-контактное|7 шт|1 шт|5 шт|AMD X570|Ami|Есть|6 шт|3 шт|3xSATA/PCI-E 4x / PCI-E 4.0 /||Есть|Есть|2 шт|2 шт||2 шт|Realtek ALC1220-VB|7.1|5 шт|1 шт|||Есть|4 слота(ов)|||||Wi-Fi 6 (802.11ax)|Bluetooth v 5.0|1 шт|Есть||Есть|2 шт|Есть|||Есть|Есть|Gigabyte RGB Fusion|1 шт|Есть|Есть|Есть|Temperature sensor, Noise detection||||||||||||||||||||||||||||||||||||
Biostar TB360-BTC PRO|созданы для майнинга|Intel LGA 1151 v2|ATX||Есть|305x210 мм||DIMM|2-х канальный|2666 МГц|32 ГБ|||1 шт|3.0||Есть|v.1.4|1 Гбит/с|1 шт|Realtek RTL8111H|24+24-контактный|8-контактное / 2x6-Pin PCI-E /|3 шт|1 шт|2 шт|Intel B360|Ami|Есть|4 шт|1 шт|1xSATA||||2 шт|4 шт|||Realtek ALC887|7.1||||||2 слота(ов)||||Есть||||||||||||||11 шт|||||2 шт|||||||||||||||||||||||||||||||||||
Asus P7H57D-V EVO|для дома/офиса|Intel LGA 1156|ATX|||305x244 мм||DIMM|2-х канальный|2133 МГц|16 ГБ|Есть||1 шт|||Есть||1 Гбит/с|1 шт|Realtek 8112L|24-контактный|8-контактное|4 шт|||Intel H57|Ami||2 шт|||||Есть|4 шт|2 шт|||Realtek ALC889|7.1||||||||||Есть||||||||Есть||||||3 шт|||||1 шт|4 слота(ов)|1 шт|2 шт|1 шт|DVI-D||||||||||||||||||||||||||||||
Asus P7H55-M LE|для дома/офиса|Intel LGA 1156|micro-ATX|||244x229 мм||DIMM|2-х канальный|1333 МГц|8 ГБ|Есть||1 шт|||Есть||1 Гбит/с|1 шт|Realtek 8112L|24-контактный|4-контактное|2 шт|||Intel H55|Ami||||||||6 шт||||VIA VT1708S|7.1||||||||||Есть|||||||||||||||||||2 шт|2 слота(ов)||2 шт||DVI-D|1 шт|Есть||||||||||||||||||||||||||||
Asus P7H55/USB3 P7H55\/USB3|для дома/офиса|Intel LGA 1156|ATX|||305x218 мм||DIMM|2-х канальный|2200 МГц|16 ГБ|Есть||1 шт|||||1 Гбит/с|1 шт|Realtek 8112L|24-контактный|8-контактное|3 шт|||Intel H55|Ami||||||||6 шт|2 шт|||VIA 1708S|7.1||||||||||||||||||Есть||||||2 шт|||||2 шт|4 слота(ов)||1 шт|||1 шт|||||||||||||||||||||||||||||
Asus P8H67-V|для дома/офиса|Intel LGA 1155|ATX|||305x229 мм||DIMM|2-х канальный|1333 МГц|32 ГБ|Есть||1 шт|||Есть||1 Гбит/с|1 шт||24-контактный|8-контактное|4 шт|||Intel H67|Ami|Есть|2 шт|||||Есть|4 шт|2 шт|||Realtek ALC887|7.1||||||||||Есть||||||||Есть||||||2 шт|||||1 шт|4 слота(ов)||3 шт||DVI-D|1 шт|||||||||||||||||||||||||||||
MSI H67MA-E35|для дома/офиса|Intel LGA 1155|micro-ATX|||245x215 мм||DIMM|2-х канальный|1333 МГц|16 ГБ|||1 шт|||Есть||1 Гбит/с|1 шт|Realtek RTL8111E|24-контактный|4-контактное|3 шт|||Intel H67|Ami||2 шт|||||Есть|4 шт|2 шт|||Realtek ALC887|7.1||||||||||Есть||||||||||||||2 шт|||||1 шт|2 слота(ов)||1 шт||DVI-D||||||||||||||||||||||||||||||
Gigabyte GA-PH67-DS3-B3|для дома/офиса|Intel LGA 1155|ATX|||305x215 мм||DIMM|2-х канальный|1333 МГц|32 ГБ|||1 шт|||||1 Гбит/с|1 шт|RTL8111E|24-контактный|4-контактное|4 шт|||Intel H67|Award||2 шт|||||Есть|6 шт||||Realtek ALC892|7.1||||||||||||||||||Есть||||||2 шт|||Есть||1 шт|4 слота(ов)||2 шт|||1 шт|Есть||||||||||||||||||||||||||||
MSI H55M-E21|для дома/офиса|Intel LGA 1156|micro-ATX|||245x210 мм||DIMM|2-х канальный|1600 МГц|8 ГБ|||1 шт|||Есть||1 Гбит/с|1 шт|Realtek 8105E|24-контактный|4-контактное|3 шт|||Intel H55|Ami|||||||Есть|4 шт||||Realtek ALC887|7.1||||||||||Есть||||||||||||||2 шт|||||2 шт|2 слота(ов)||1 шт||DVI-D||||||||||||||||||||||||||||||
Elitegroup H61H2-M|для дома/офиса|Intel LGA 1155|micro-ATX|||244x220 мм||DIMM|2-х канальный|1333 МГц|16 ГБ|||1 шт|||||1 Гбит/с|1 шт|Atheros AR8151|24-контактный|4-контактное|2 шт|||Intel H61|Ami||||||||4 шт|2 шт|||VIA VT1705|5.1||||||||||Есть||||||||||||||1 шт|||||2 шт|4 слота(ов)||2 шт||DVI-D||||||||||||||||||||||||||||||
Gigabyte GA-A55M-DS2|для дома/офиса|AMD FM1|micro-ATX|||225x174 мм||DIMM|2-х канальный|1866 МГц|32 ГБ|||1 шт|||||1 Гбит/с|1 шт||24-контактный|4-контактное|2 шт|||AMD A55 (Hudson-D2)|Award|||||||Есть|4 шт||||Realtek ALC887|7.1||||||||||Есть||||||||||||||1 шт|||Есть||2 шт|2 слота(ов)||1 шт||DVI-D||||||||||||||||||||||||||||||
Gigabyte GA-B75-D3V|для дома/офиса|Intel LGA 1155|ATX|||305x215 мм||DIMM|2-х канальный|1600 МГц|32 ГБ|||1 шт|3.0||||1 Гбит/с|1 шт||24-контактный|4-контактное|4 шт|||Intel B75|Ami|Есть|1 шт||||||4 шт|2 шт|||Realtek ALC887|7.1||||||||||Есть||||||||||||||3 шт|||Есть||1 шт|4 слота(ов)||2 шт||DVI-D|1 шт|||||||||||||||||||||||||||||
Asus P8H77-M|для дома/офиса|Intel LGA 1155|micro-ATX|||245x245 мм||DIMM|2-х канальный||32 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek RTL8111F|24-контактный|8-контактное|2 шт|||Intel H77|Ami|Есть|2 шт|||||Есть|4 шт|2 шт|||Realtek ALC887|7.1||||||||||Есть||||||||Есть||||||1 шт|||||1 шт|4 слота(ов)|||1 шт|DVI-D|1 шт||Есть|||||||||||||||||||||||||||
Asus P8H77-V LE|для дома/офиса|Intel LGA 1155|ATX|||305x218 мм||DIMM|2-х канальный|2200 МГц|32 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek RTL8111F|24-контактный|8-контактное|2 шт|||Intel H77|Ami|Есть|2 шт|||||Есть|4 шт|2 шт|||Realtek ALC887|7.1||||||||||Есть||||||||Есть||||||2 шт|||||1 шт|4 слота(ов)||3 шт||DVI-D|1 шт|||||||||||||||||||||||||||||
Gigabyte GA-P85-D3|геймерская|Intel LGA 1150|ATX|||305х225 мм||DIMM|2-х канальный|1600 МГц|32 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek GbE|24-контактный|8-контактное|4 шт|||Intel B85|Ami|Есть|4 шт||||||2 шт|2 шт|||Realtek ALC887|7.1||||||||||||||||||||||||1 шт|||Есть||2 шт|4 слота(ов)||4 шт|||1 шт|Есть||||||||||||||||||||||||||||
Asus H81M-PLUS|для дома/офиса|Intel LGA 1150|micro-ATX|||244х183 мм||DIMM|2-х канальный|1600 МГц|16 ГБ|Есть||1 шт|||Есть||1 Гбит/с|1 шт|Realtek 8111G|24-контактный|4-контактное|2 шт|||Intel H81|Ami|Есть|2 шт||||||4 шт|2 шт|||Realtek ALC887|7.1||||||||||Есть||||||||||||||3 шт|||||2 шт|2 слота(ов)||||DVI-D||||||||||||||||||||||||||||||
ASRock H61M-VG3|для дома/офиса|Intel LGA 1155|micro-ATX|||191x170 мм||DIMM|2-х канальный|1600 МГц|16 ГБ|Есть||1 шт|3.0||||1 Гбит/с|1 шт|Realtek RTL8111E|24-контактный|4-контактное|2 шт|||Intel H61|Ami|Есть|||||||4 шт||||Realtek ALC662|5.1||||||||||Есть||||||||||||||1 шт|||||2 шт|2 слота(ов)||||||||||||||||||||||||||||||||||
Asus J1800I-C 90MB0J60-M0EAYM|для дома/офиса|встроенный Intel|thin mini-ITX|||170x170 мм||SO-DIMM|2-х канальный|1333 МГц|8 ГБ||||||Есть||1 Гбит/с|1 шт|Realtek RTL8111G|24-контактный|4-контактное|2 шт||||Ami|Есть|||||||4 шт|1 шт|||Realtek ALC887-VD|7.1||||||||Есть|Intel HD Graphics / до 512 Мб /|Есть||||||||||||||1 шт|||||1 шт|2 слота(ов)||||||Есть||Есть|Celeron J1800, 2.41 ГГц|90MB0J60-M0EAYM||||||||||||||||||||||||
Asus Z97-K|геймерская|Intel LGA 1150|ATX|||305x218 мм||DIMM|2-х канальный|3200 МГц|32 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek 8111GR|24-контактный|8-контактное|3 шт|||Intel Z97|Ami|Есть|6 шт|1 шт||||Есть|2 шт|4 шт|||Realtek ALC887|7.1||||||||||Есть||||||||||||||2 шт|||||2 шт|4 слота(ов)||2 шт||DVI-D|1 шт|||||||||||||||||||||||||||||
Asus H97-PRO|геймерская|Intel LGA 1150|ATX|||305x218 мм||DIMM|2-х канальный|1600 МГц|32 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|1 шт|Intel I218V|24-контактный|8-контактное|4 шт|||Intel H97|Ami|Есть|4 шт / дополнительно 2 SATA на разъеме SATAe /|1 шт||||Есть|2 шт|4 шт|||Realtek ALC892|7.1||||||||||Есть||||||||||||||2 шт|||||1 шт|4 слота(ов)||3 шт||DVI-D|1 шт|||||||||||||||||||||||||||||
ASRock D1800B-ITX|для дома/офиса|встроенный Intel|mini-ITX|||170x170 мм||SO-DIMM|2-х канальный|1333 МГц|16 ГБ||||||Есть||1 Гбит/с|1 шт|Realtek RTL8111GR|24-контактный||2 шт||||Ami|Есть|||||||3 шт|1 шт|||Realtek ALC662|5.1||||||||Есть|Intel HD Graphics|Есть||||||||||||||1 шт|||||2 шт|2 слота(ов)||||||Есть||Есть|Celeron J1800, 2.41 ГГц|||||||||||||||||||||||||
ASRock C70M1|для дома/офиса|встроенный AMD|mini-ITX|||||DIMM|2-х канальный|1333 МГц|16 ГБ||||||||1 Гбит/с|1 шт|Realtek RTL8111E|24-контактный||3 шт|||AMD A50M (Hudson M1)|Ami|Есть|4 шт||||||4 шт||||Realtek ALC887|7.1||||||||Есть|AMD Radeon HD 6290 / до 512 Мб выделенной памяти /|Есть||||||||Есть|||||||||||1 шт|2 слота(ов)|||||1 шт|||Есть|Dual-Core Ontario C-70 APU, 1 ГГц / 1.33 ГГц в режиме Turbo /|||||||||||||||||||||||||
MSI H97 PC Mate|для дома/офиса|Intel LGA 1150|ATX|||305x220 мм||DIMM|2-х канальный|1600 МГц|32 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek RTL8111G|24-контактный|8-контактное|5 шт|||Intel H97|Ami|Есть|6 шт|||||Есть|4 шт|2 шт|||Realtek ALC887|7.1||||||||||Есть||||||||||||||2 шт|||||2 шт|4 слота(ов)||2 шт||DVI-D|1 шт|||||||||||||||||||||||||||||
ASRock H97M Anniversary|для дома/офиса|Intel LGA 1150|micro-ATX|||||DIMM|2-х канальный|1600 МГц|32 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek RTL8111GR|24-контактный|4-контактное|2 шт|||Intel H97|Ami|Есть|6 шт|||||Есть|4 шт|2 шт|||Realtek ALC662|5.1||||||||||Есть||||||||||||||2 шт|||||2 шт|4 слота(ов)||||DVI-D||||||||||||||||||||||||||||||
Asus Z97-P|геймерская|Intel LGA 1150|ATX|||305x213 мм||DIMM|2-х канальный|3200 МГц|32 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek 8111GR|24-контактный|8-контактное|3 шт|||Intel Z97|Ami|Есть|4 шт|1 шт||||Есть|2 шт|4 шт|||Realtek ALC891|7.1||||||||||Есть||||||||||||||3 шт / один слот 2x /|||||2 шт|4 слота(ов)||2 шт||DVI-D||||||||||||||||||||||||||||||
ASRock N3150M|для дома/офиса|встроенный Intel|micro-ATX|||226x178 мм||DIMM|2-х канальный|1600 МГц|16 ГБ|||1 шт / в режиме х1 /|||Есть||1 Гбит/с|1 шт|Realtek RTL8111GR|24-контактный||2 шт||||Ami|Есть|2 шт||||||2 шт|2 шт|||Realtek ALC887|7.1||||||||Есть|Intel HD Graphics|Есть||||||||||||||2 шт|||||2 шт|2 слота(ов)||||DVI-D||||Есть|Intel Pentium N3150 / четыре ядра 2.08 ГГц /|||||||||||||||||||||||||
Supermicro X10SAE|для сервера|Intel LGA 1150|ATX|||305x244 мм||DIMM|2-х канальный|1600 МГц|32 ГБ|||1 шт|3.0||Есть||1 Гбит/с|2 шт|Intel i217LM / Intel i210AT /|24-контактный|8-контактное|5 шт|||Intel C226|Ami||8 шт|||||Есть|4 шт|2 шт|||Realtek ALC1150|7.1|||||||Есть|||Есть||||||||Есть||||||3 шт|||||1 шт|4 слота(ов)|1 шт|2 шт||DVI-D|||Есть|||||||||||||||||||||||||||
ASRock H110M-DGS|для дома/офиса|Intel LGA 1151|micro-ATX||Есть|191x188 мм||DIMM|2-х канальный|2133 МГц|32 ГБ|Есть||1 шт|3.0||||1 Гбит/с|1 шт|Realtek RTL8111GR|24-контактный|8-контактное|2 шт|||Intel H110|Ami|Есть|4 шт||||||4 шт|2 шт|||Realtek ALC887|7.1||||||2 слота(ов)|Есть|||||||||||||||||1 шт|||||2 шт|||||DVI-D||||||||||||||||||||||||||||||
Gigabyte GA-H110M-S2 rev. 1.0|для дома/офиса|Intel LGA 1151|micro-ATX|4||226x170 мм||DIMM|2-х канальный|2133 МГц|32 ГБ|||1 шт|3.0||||1 Гбит/с|1 шт|Realtek GbE|24-контактный|4-контактное|2 шт|||Intel H110|Ami|Есть|4 шт||||||2 шт|2 шт|||Realtek ALC887|7.1||||||2 слота(ов)|Есть|||Есть||||||||||||||2 шт|||||2 шт|||||||||||||||||||||||||||||||||||
ASRock H81M-VG4 R3.0|для дома/офиса|Intel LGA 1150|micro-ATX|||244x244 мм||DIMM|2-х канальный|1600 МГц|16 ГБ|Есть||1 шт|||||1 Гбит/с|1 шт|Realtek RTL8111C|24-контактный|4-контактное|2 шт|||Intel H81|Ami|Есть|2 шт||||||2 шт|2 шт|||Realtek ALC887|7.1||||||||||Есть||||||||||||||1 шт|||||2 шт|2 слота(ов)||||||||||||||||||||||||||||||||||
ASRock H110M-DGS R3.0|для дома/офиса|Intel LGA 1151|micro-ATX||Есть|191x188 мм||DIMM|2-х канальный|2133 МГц|32 ГБ|Есть||1 шт|3.0||||1 Гбит/с|1 шт|Realtek RTL8111C|24-контактный|8-контактное|2 шт|||Intel H110|Ami|Есть|4 шт||||||4 шт|2 шт|||Realtek ALC887|7.1||||||2 слота(ов)||||||||||||||||||1 шт|||||2 шт|||||DVI-D||||||||||||||||||||||||||||||
ASRock AB350M Pro4|геймерская|AMD AM4|micro-ATX|9|Есть|244x244 мм||DIMM|2-х канальный|3200 МГц|64 ГБ|||2 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek RTL8111GR|24-контактный|8-контактное|3 шт|||AMD B350|Ami|Есть|4 шт|2 шт|1xSATA, 1xPCI-E 4x|||Есть|2 шт|4 шт|1 шт||Realtek ALC892|7.1||||||4 слота(ов)||||Есть||||||||||||||1 шт|||||2 шт|||||DVI-D|||||||16x/4x|||||||||||||||||||||||
ASRock AB350M-HDV|для дома/офиса|AMD AM4|micro-ATX|7||231x206 мм||DIMM|2-х канальный|2667 МГц|32 ГБ|||1 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek RTL8111GR|24-контактный|4-контактное|3 шт|||AMD B350|Ami|Есть|4 шт|1 шт|1xSATA/PCI-E 4x|||Есть|2 шт|4 шт|||Realtek ALC887|7.1||||||2 слота(ов)||||Есть||||||||||||||1 шт|||||1 шт|||||DVI-D||||||||||||||||||||||||||||||
Asus H110M-CS|для дома/офиса|Intel LGA 1151|micro-ATX|4||211x180 мм||DIMM|2-х канальный|2133 МГц|32 ГБ|Есть||1 шт|3.0||||1 Гбит/с|1 шт|Realtek RTL8111H|24-контактный|4-контактное|2 шт|||Intel H110|Ami|Есть|4 шт||||||4 шт|2 шт|||Realtek ALC887-VD2|7.1||||||2 слота(ов)||||Есть||||||||||||||2 шт|||||2 шт|||||||||||||||||||||||||||||||||||
Asus PRIME X299-DELUXE|HEDT (High-End DeskTop)|Intel LGA 2066|ATX|8|Есть|305x244 мм||DIMM|2-х/4-х канальный|4000 МГц|128 ГБ|Есть||4 шт|3.0|Есть|||1 Гбит/с|2 шт|Intel I219V|24-контактный|8+4-контактное|9 шт|||Intel X299|Ami|Есть|7 шт|2 шт|1xSATA/PCI-E 4x, 1xPCI-E 4x||Есть|Есть|2 шт|1 шт|||Realtek S1220A|7.1|1 шт|1 шт|Есть|||8 слота(ов)|||||Wi-Fi 5 (802.11aс) / + WiGig 802.11ad /|Bluetooth v 4.1|||1 шт|||Есть||||Есть||2 шт|Есть|Есть|||||||||||||||16x/16x/8x/4x|||||||||||||||||||||||
ASRock X299 Killer SLI/ac X299 Killer SLI\/ac|HEDT (High-End DeskTop)|Intel LGA 2066|ATX|||305x244 мм||DIMM|2-х/4-х канальный|4400 МГц|128 ГБ|Есть||4 шт|3.0|Есть|||1 Гбит/с|1 шт|Intel I219V|24-контактный|8-контактное|5 шт|||Intel X299|Ami|Есть|8 шт|4 шт / один слот для Wi-Fi адаптера /|3xSATA/PCI-E 4x|||Есть|3 шт|1 шт|||Realtek ALC1220|7.1|1 шт|1 шт||||8 слота(ов)|||||Wi-Fi 5 (802.11aс)|||||||Есть||||Есть||1 шт|Есть|Есть|Есть||1 шт||||||||||||16x/4x/16x/8x / при CPU с 44 линиями /|||||||||||||||||||||||
Supermicro MBD-X11SRA-F-O|HEDT (High-End DeskTop)|Intel LGA 2066|ATX||Есть|305x244 мм||DIMM|2-х/4-х канальный|2666 МГц|256 ГБ|||2 шт|3.0|Есть|||1 Гбит/с|2 шт|Intel I210-AT / AQtion AQC108 /|24-контактный|8-контактное|5 шт|||Intel C422|Ami|Есть|6 шт|2 шт|2xSATA/PCI-E 4x|||Есть|2 шт|4 шт|||Realtek ALC1220|7.1|2 шт|||||8 слота(ов)|Есть|||Есть|||||||||||||||Есть|Есть|||||1 шт||||1 шт|Есть||||||||||||||||||||||||||||
Asus TUF Z390M-PRO GAMING|игровая для разгона (overclocking)|Intel LGA 1151 v2|micro-ATX|9|Есть|244x244 мм||DIMM|2-х канальный|4266 МГц|128 ГБ|Есть||2 шт|3.0|Есть|Есть||1 Гбит/с|1 шт|Intel I219V|24-контактный|8-контактное|5 шт|||Intel Z390|Ami|Есть|6 шт|2 шт|1xSATA/PCI-E 4x, 1xPCI-E 4x||Есть|Есть|2 шт|4 шт|1 шт||Realtek ALC S1200A|7.1|1 шт|||||4 слота(ов)||||||||||||||||Есть|Asus Aura Sync|1 шт|Есть|Есть|||2 шт||||||||Есть||||16x/0x, 8x/8x|||||||||||||||||||||||
Asus Pro Q470M-C/CSM Pro Q470M-C\/CSM|для дома/офиса|Intel LGA 1200|micro-ATX|8||244x244 мм||DIMM|2-х канальный|2933 МГц|128 ГБ|Есть||1 шт|3.0||Есть|v.1.4b|1 Гбит/с|1 шт|Intel I219-LM|24-контактный|8-контактное|3 шт|||Intel Q470|Ami|Есть|6 шт|2 шт|1xSATA/PCI-E 4x, 1xPCI-E 4x|||Есть|2 шт|4 шт|1 шт||Realtek ALC887|7.1||||||4 слота(ов)||||Есть||||||||||||||1 шт|||||2 шт|||1 шт|||||Есть|||||v.1.4||||||||||||||||||||||
Gigabyte B550 AORUS PRO V2|игровая для разгона (overclocking)|AMD AM4|ATX|14 / 12+2 /|Есть|305x244 мм||DIMM|2-х канальный|5400 МГц|128 ГБ|Есть||3 шт|4.0|Есть|Есть|v.2.1|2.5 Гбит/с|1 шт|Realtek 2.5GbE|24-контактный|8-контактное|8 шт|1 шт|6 шт|AMD B550|Ami|Есть|6 шт|2 шт|1xSATA/PCI-E 4x, 1xPCI-E 4x||Есть|Есть|6 шт|2 шт|1 шт|2 шт|Realtek ALC1220-VB|7.1|2 шт|1 шт||||4 слота(ов)|||||||1 шт|||Есть|2 шт|Есть||||Есть|Gigabyte RGB Fusion|2 шт||||Temperature sensor|||||||||||||||v4 1 шт|||||||||||||||||||||
ASRock G41C-GS|для дома/офиса|Intel LGA 775|micro-ATX|||244x198 мм||DIMM|2-х канальный|1333 МГц|8 ГБ|||1 шт|||||1 Гбит/с|1 шт|Realtek RTL8111DL|24-контактный|4-контактное|2 шт|||Intel G41|Ami||||||||4 шт||||VIA VT1705|5.1||||||||Есть|Intel GMA X4500|Есть||||||||||||||1 шт|||||2 шт|2 слота(ов)||2 шт||||Есть||||||||Intel ICH7||||||||||||||||||||
Gigabyte B760M GAMING X DDR5|геймерская|Intel LGA 1700|micro-ATX|10 / 8+1+1 /|Есть|244x244 мм|4 слота(ов)|DIMM|2-х канальный|7600 МГц|192 ГБ|Есть||2 шт|4.0|Есть|Есть|v.2.0|2.5 Гбит/с|1 шт|Realtek|24-контактный|8-контактное|4 шт|1 шт|3 шт|Intel B760|Ami|Есть|4 шт|2 шт|2xPCI-E 4x||Есть|Есть|5 шт|3 шт||2 шт|Realtek|7.1||1 шт||||||||||||||Есть|2 шт||||||||||||||||||||Есть||||16x/4x|v.1.2||||||||||||||||||||||
Asus P8H77-M LE|для дома/офиса|Intel LGA 1155|micro-ATX|||244x208 мм||DIMM|2-х канальный||16 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek RTL8111F|24-контактный|8-контактное|2 шт|||Intel H77|Ami|Есть|2 шт|||||Есть|4 шт|2 шт|||Realtek ALC887|7.1||||||||||Есть||||||||Есть||||||1 шт|||||1 шт|2 слота(ов)||1 шт|1 шт|DVI-D|1 шт|||||||||||||||||||||||||||||
Asus B75M-A|для дома/офиса|Intel LGA 1155|micro-ATX|||244x178 мм||DIMM|2-х канальный|2000 МГц|16 ГБ|||1 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek 8111F-VB-CG|24-контактный|4-контактное|2 шт|||Intel B75|Ami|Есть|1 шт||||||4 шт|2 шт|||Realtek ALC887-VD|7.1||||||||||Есть||||||||||||||2 шт|||||2 шт|2 слота(ов)||1 шт||DVI-D||||||||||||||||||||||||||||||
Asus PRIME Z390-P|игровая для разгона (overclocking)|Intel LGA 1151 v2|ATX|9|Есть|305x234 мм||DIMM|2-х канальный|4266 МГц|128 ГБ|Есть||2 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek RTL8111H|24-контактный|8-контактное|4 шт|||Intel Z390|Ami|Есть|4 шт|2 шт|1xSATA/PCI-E 4x, 1xSATA/PCI-E 2x|||Есть|2 шт|4 шт|||Realtek ALC887|7.1|2 шт|||||4 слота(ов)||||||||||||||||Есть|Asus Aura Sync|4 шт|Есть||||2 шт||||||||Есть||||16x/4x|||||||||||||||||||||||
Gigabyte Z790 AORUS PRO X WIFI7|игровая для разгона (overclocking)|Intel LGA 1700|ATX|21 / 18+1+2 /|Есть|305x244 мм|4 слота(ов)|DIMM|2-х канальный|8266 МГц|192 ГБ|Есть||3 шт|5.0|Есть|Есть|v.2.1|5 Гбит/с|1 шт|Realtek|24-контактный|8+8-контактное|8 шт|1 шт|6 шт|Intel Z790|Ami|Есть|4 шт|5 шт|1xSATA/PCI-E 4x, 4xPCI-E 4x|1x5.0, 4x4.0|Есть|Есть|2 шт|4 шт||3 шт|Realtek ALC1220-VB|7.1|2 шт||||||||||Wi-Fi 7 (802.11be) / Intel BE200 /|Bluetooth v 5.3|1 шт|||Есть|1 шт|Есть||||Есть|Gigabyte RGB Fusion|||||Q-Flash Plus button, Clear CMOS jumper|||||||||||||16x/4x/4x||||1 шт|||||||||||||||||||
