|Серия|Кодовое название|Разъем (Socket)|Техпроцесс|Тактовая частота|Тепловыделение (TDP)|Поддержка инструкций|Множитель|Макс. рабочая температура|Кол-во ядер|Кэш 1-го уровня L1|Кэш 2-го уровня L2|Кол-во потоков|Модель IGP|Частота системной шины|Кэш 3-го уровня L3|Макс. объем ОЗУ|Макс. частота DDR3|Число каналов|Маркировка производителя|Частота TurboBoost / TurboCore|Комплектация|Свободный множитель|кэш 1-го уровня L1|кэш 2-го уровня L2|кэш 3-го уровня L3|Многопоточность|Поддержка PCI Express|Макс. частота DDR4|Тепловыделение Max (TDP)|Макс. частота DDR5|Performance-core Base|Efficient-core Base|Частота TurboBoost Max 3.0|Performance-core Max|Efficient-core Max|Performance|Efficient|Тест Passmark CPU Mark|Тест Geekbench 4|Тест Cinebench R15|1-го уровня L1|2-го уровня L2|3-го уровня L3|Макс. объем|Комплектуется кулером|Код EAN / UPS / GTIN
Intel Core i7 Coffee Lake Refresh i7-9700F OEM|Core i7|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|3 ГГц|65 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4.1, SSE4.2, EM64T, AES, AVX, AVX2 / FMA3, TSX /|30|100 °С|8 cores|||8 threads|отсутствует|||||2 шт|CM8068403874523|4.7 ГГц||Есть|||||3.0|2666 МГц||||||||||16811 балл(ов)|||512 КБ|2048 КБ|12 МБ|128 ГБ||
AMD Ryzen 9 Raphael 7900 BOX|Ryzen 9|Raphael (Zen 4)|AMD AM5|5 нм|3.7 ГГц|65 Вт|AES, AMD-V, AVX, AVX2, AVX512, FMA3, MMX(+), SHA, SSE||95 °С|12 cores|||24 threads|Radeon|||||2 шт|100-100000590BOX|5.4 ГГц||Есть||||Есть|5.0|||5200 МГц|||||||||||768 КБ|12288 КБ|64 МБ|128 ГБ|Есть|0730143314466
AMD FX 8-Core FX-9590 OEM|FX|Vishera|AMD AM3+|32 нм|4.7 ГГц|220 Вт|SSE3, SSE4.1/4.2, AES, AVX Plus FMA4, XOP|||8 cores|||8 threads|отсутствует||||1866 МГц|2 шт|FD9590FHW8KHK|5 ГГц||Есть|||||||||||||||||||384 КБ|8192 КБ|8 МБ|64 ГБ||
Intel Core i9 Rocket Lake i9-11900 BOX|Core i9|Rocket Lake|Intel LGA 1200|14 нм|2.5 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|8 cores|||16 threads|UHD Graphics 750|8 ГТ/с||||2 шт|BX8070811900, BXC8070811900|5.2 ГГц||||||Есть|4.0|3200 МГц||||||||||23505 балл(ов)||2541 балл(ов)|||16 МБ|128 ГБ||
AMD Ryzen 5 Picasso 3400G BOX|Ryzen 5|Picasso (Zen+)|AMD AM4|12 нм|3.7 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|37|95 °С|4 cores|||8 threads|Radeon Vega 11|||||2 шт|YD3400C5FHBOX|4.2 ГГц||Есть||||Есть|3.0|2933 МГц||||||||||9414 балл(ов)|15896 балл(ов)||384 КБ|2048 КБ|4 МБ||Есть|
Intel Core i7 Haswell i7-4770|Core i7|Haswell|Intel LGA 1150|22 нм|3.4 ГГц|84 Вт|MMX, SSE, SSE2, SSE3, SSE4.1, SSE4.2|34|73 °С|4 cores|||8 threads|HD Graphics 4600|5 ГТ/с|||1600 МГц|2 шт|BX80646I74770|3.9 ГГц||||||Есть|||||||||||||||128 КБ|1024 КБ|8 МБ|32 ГБ||
Intel Core i5 Kaby Lake i5-7400 OEM|Core i5|Kaby Lake|Intel LGA 1151|14 нм|3 ГГц|65 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TSX, MPX, SGX /|30|100 °С|4 cores|||4 threads|HD Graphics 630|8 ГТ/с|||1600 МГц|2 шт|CM8067702867050|3.5 ГГц|||||||3.0|2400 МГц||||||||||7336 балл(ов)|13710 балл(ов)|541 балл(ов)|256 КБ|1024 КБ|6 МБ|64 ГБ||
AMD A-Series Bristol Ridge A6-9500 OEM|A-Series|Bristol Ridge|AMD AM4|28 нм|3.5 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, F16C, FMA3, FMA4, TBM, XOP, AMD64, AMD-V, EVP /||90 °С|2 cores|||2 threads|Radeon R5 series|||||2 шт|AD9500AGM23AB|3.8 ГГц||||||||2400 МГц|||||||||||||160 КБ|1024 КБ||||
Intel Core i7 Coffee Lake Refresh i7-9700K OEM|Core i7|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|3.6 ГГц|100 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4.1, SSE4.2, EM64T, AES, AVX, AVX2 / FMA3, TSX /|36||8 cores|||8 threads|UHD Graphics 630|||||2 шт|CM8068403874212|4.9 ГГц||Есть|||||3.0|2666 МГц||||||||||14613 балл(ов)|34070 балл(ов)|1495 балл(ов)|512 КБ|2048 КБ|12 МБ|128 ГБ||
Intel Core i5 Coffee Lake Refresh i5-9600KF OEM|Core i5|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|3.7 ГГц|95 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4.1, SSE4.2, EM64T, AES, AVX, AVX2 / FMA3, TSX /|37||6 cores|||6 threads|отсутствует|||||2 шт|CM8068403874409|4.6 ГГц||Есть|||||3.0|2666 МГц||||||||||10892 балл(ов)|29673 балл(ов)|1165 балл(ов)|384 КБ|1536 КБ|9 МБ|128 ГБ||
