|Мощность|Форм-фактор|Питание MB/CPU|SATA|MOLEX|PCI-E 8pin (6+2)|Система кабелей|+3.3V|+5V|+12V1|-12V|+5Vsb|Мощность +12V|Мощность +3.3V +5V|Мощность -12V|Мощность +5Vsb|Тип PFC|КПД|Система охлаждения|Диаметр вентилятора|Тип подшипника|Сертификат|Стандарт ATX 12В v.|MB|CPU|PCI-E|Защита от перенапряжения (OVP)|Защита от избыточного тока (OPP)|Защита от короткого замыкания (SCP)|Безопасность|Уровень шума|Гарантия производителя|Габариты (ВхШхГ)|Вес|Floppy|Провода в оплетке|Стандарт EPS 12В v.|Маркировка производителя|PCI-E 6pin|+12V2|PCI-E 16pin|Код EAN / UPS / GTIN|+12V3|+12V4|Подсветка|Синхронизация подсветки|PCI-E 8pin
Antec Neo ECO Gold NE600G Zen|600 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|4 шт|не модульная|18 А|18 А|50 А|0.3 А|2.5 А|600 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|92 %|1 вентилятор|120 мм||80+ Gold|2.4|500 мм|600 мм|500 мм|Есть|Есть|Есть||||86x140x150 мм|1.73 кг||||0-761345-11682-4||||0761345116824|||||
EVGA N1 550|550 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|2 шт|не модульная|24 А|15 А|43 А|0.3 А|3 А|512 Вт|120 Вт|3.6 Вт|15 Вт|активная||1 вентилятор|120 мм||без 80+||550 мм|650 мм|550 мм|Есть|Есть|Есть|||2 года|86x140x150 мм|1.81 кг|Есть|Есть||100-N1-0550-L2|||||||||
Antec Neo ECO Classic NE650C V2|650 Вт|ATX|24+8 (4+4) pin|8 шт|3 шт|4 шт|не модульная|20 А|17 А|50 А|0.3 А|2.5 А|600 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|88 %|1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть|||5 лет|86x140x150 мм|2.19 кг|Есть|||0-761345-05652-6|||||||||
Gamemax GM Series GM-700|700 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|2 шт|полумодульная|20 А|20 А|25 А|0.5 А|2.5 А|576 Вт|120 Вт|||активная|85 %|1 вентилятор|139 мм||80+|2.3||||Есть|Есть|Есть||||86x150x140 мм|2.95 кг||Есть||||25 А|||||||
Thermaltake Smart Pro RGB SPR-0650F-R|650 Вт|ATX|24+8 (4+4) pin|6 шт|4 шт|4 шт|модульная|22 А|22 А|54.2 А|0.3 А|2.5 А|650 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|140 мм||80+ Bronze|2.4||||Есть|Есть|Есть|OCP, UVP, OTP||7 лет|87x150x170 мм||Есть||2.92||||||||Есть||
be quiet! Pure Power 12 M BN341|550 Вт|ATX|24+8 (4+4) pin|650 мм|800 мм|2 шт|модульная|20 А|20 А|28 А|0.3 А|3 А|550 Вт|120 Вт|||активная|93 %|1 вентилятор|120 мм|скольжения|80+ Gold|3|550 мм|600 мм|500 мм|Есть|Есть|Есть|OTP, OCP, UVP, SIP|17 дБ|10 лет|86x150x160 мм|1.45 кг|||2.92|||24 А|1 шт|4260052189467|||||
Thermaltake Litepower RGB LTP-550AL2NK|550 Вт|ATX|24+8 (4+4) pin|5 шт|4 шт|2 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм||без 80+|2.3||||Есть|Есть|Есть|||2 года|86x150x140 мм||Есть|Есть|||||||||Есть||
Cooler Master MWE Gold V2 MPE-C501-AFCAG-3|1250 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|3 шт|модульная|20 А|20 А|104 А|0.3 А|3 А|1248 Вт|120 Вт|3.6 Вт|15 Вт|активная||полупассивная|140 мм|качения|80+ Gold|3|650 мм|650 мм|550 мм|Есть|Есть|Есть|||10 лет|86x150x180 мм|3.02 кг|||||||1 шт|0884102106224, 4719512133866, 4719512133880, 4719512133903|||||
Asus TUF Bronze TUF-GAMING-750B|750 Вт|ATX|24+8+8(4+4) pin|400 мм|400 мм|4 шт|не модульная|25 А|25 А|62 А|0.8 А|3 А|||||активная||полупассивная|135 мм|качения|80+ Bronze||600 мм|800 мм|600 мм|Есть|Есть|Есть|||6 лет|86x150x150 мм|||Есть||90YE00D1-B0NA00||||4718017724029, 4718017724159|||||
Asus TUF Gold TUF Gaming 850W Gold|850 Вт|ATX|24+8+8(4+4) pin|400 мм|400 мм|3 шт|модульная|25 А|25 А|70.8 А|0.8 А|3 А|850 Вт|130 Вт|9.6 Вт|15 Вт|активная|92 %|полупассивная|135 мм|качения|80+ Gold|3|610 мм|650 мм|675 мм|Есть|Есть|Есть|||10 лет|86x150x150 мм|2.38 кг||Есть||90YE00S2-B0NA00|||1 шт|4711081786573|||||
